#miRNA	read_count	precursor	total	aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb	aaa(norm)	aab(norm)	aac(norm)	aad(norm)	aae(norm)	aaf(norm)	aag(norm)	aah(norm)	aai(norm)	aaj(norm)	aak(norm)	aal(norm)	aam(norm)	aan(norm)	aao(norm)	aap(norm)	aaq(norm)	aar(norm)	aas(norm)	aat(norm)	aau(norm)	aav(norm)	aaw(norm)	aay(norm)	aaz(norm)	aba(norm)	abb(norm)	abc(norm)	abd(norm)	abe(norm)	abf(norm)	abg(norm)	abh(norm)	abi(norm)	abj(norm)	abk(norm)	abl(norm)	abm(norm)	abn(norm)	abo(norm)	abp(norm)	abq(norm)	abr(norm)	abs(norm)	abt(norm)	abu(norm)	abv(norm)	abw(norm)	aby(norm)	abz(norm)	aca(norm)	acb(norm)
chr10_16828	52.00	chr10_16828	52.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	0	0	0	2.00	1.00	2.00	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	1.00	0	0	4.00	3.00	4.00	2.00	4.00	2.00	5.00	5.00	1.00	4.00	5.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.14	0	0	0	0.15	0.08	0.16	0	0	0	0	0	0	0.09	0	0	0	0	0.09	0	0	0.09	0	0	0.32	0.21	0.28	0.15	0.29	0.15	0.42	0.37	0.07	0.31	0.34	0.15	0
chr10_16848	51.00	chr10_16848	51.00	0	0	1.00	0	3.00	2.00	0	0	1.00	2.00	0	0	1.00	1.00	0	1.00	1.00	1.00	2.00	1.00	0	0	1.00	1.00	3.00	0	3.00	1.00	0	1.00	0	4.00	2.00	0	0	0	2.00	3.00	3.00	1.00	0	0	0	0	0	1.00	1.00	1.00	1.00	3.00	1.00	1.00	0	0	0.07	0	0.21	0.14	0	0	0.07	0.14	0	0	0.04	0.08	0	0.07	0.07	0.08	0.15	0.08	0	0	0.08	0.08	0.23	0	0.32	0.08	0	0.10	0	0.35	0.17	0	0	0	0.17	0.25	0.25	0.08	0	0	0	0	0	0.08	0.07	0.07	0.08	0.20	0.08	0.08
chr10_16855	12.00	chr10_16855	12.00	0	0	1.00	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	2.00	0	0	0	1.00	0	0	0	1.00	1.00	0	0	0.07	0	0	0	0	0	0	0.07	0	0	0.04	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0.15	0	0	0	0.07	0	0	0	0.08	0.08
chr10_16882	6.00	chr10_16882	6.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.08	0	0	0	0	0.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0.08	0
chr10_16927	8.00	chr10_16927	8.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	1.00	0	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.09	0	0	0	0.07	0	0	0	0.08	0	0	0	0.08	0	0.08	0
chr10_16931	9.00	chr10_16931	9.00	0	0	2.00	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	2.00	0	0	1.00	0	0	0	0	0	0	0.15	0	0	0.07	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.08	0	0.15	0	0	0.07	0	0	0	0
chr10_16981	5.00	chr10_16981	5.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0
chr10_17003	20.00	chr10_17003	20.00	0	0	1.00	0	0	0	0	0	0	2.00	0	0	1.00	2.00	0	0	2.00	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	1.00	3.00	1.00	1.00	0	0	0	0.07	0	0	0	0	0	0	0.14	0	0	0.04	0.15	0	0	0.15	0	0	0	0.08	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.08	0.08	0.08	0	0	0	0	0	0	0	0.07	0.24	0.07	0.08	0
chr10_17035	57.00	chr10_17035	57.00	1.00	4.00	2.00	0	1.00	1.00	0	0	3.00	1.00	2.00	2.00	5.00	0	0	2.00	2.00	0	1.00	0	1.00	5.00	0	0	2.00	4.00	0	0	1.00	2.00	0	0	1.00	2.00	1.00	0	0	2.00	1.00	2.00	1.00	0	1.00	1.00	1.00	1.00	0	0	1.00	0	0	0	0.08	0.28	0.15	0	0.07	0.07	0	0	0.22	0.07	0.16	0.15	0.19	0	0	0.14	0.15	0	0.07	0	0.08	0.40	0	0	0.15	0.35	0	0	0.09	0.19	0	0	0.09	0.19	0.08	0	0	0.17	0.08	0.16	0.07	0	0.08	0.07	0.08	0.08	0	0	0.08	0	0	0
chr10_17121	528.00	chr10_17121	528.00	8.00	19.00	10.00	4.00	7.00	11.00	4.00	7.00	17.00	21.00	15.00	17.00	21.00	12.00	1.00	6.00	12.00	7.00	22.00	10.00	14.00	11.00	5.00	16.00	15.00	24.00	16.00	11.00	10.00	9.00	13.00	12.00	18.00	8.00	17.00	11.00	10.00	10.00	12.00	7.00	13.00	5.00	5.00	1.00	1.00	1.00	4.00	2.00	1.00	5.00	1.00	9.00	0.62	1.35	0.74	0.29	0.48	0.75	0.26	0.56	1.22	1.44	1.19	1.26	0.79	0.90	0.07	0.43	0.88	0.57	1.62	0.77	1.10	0.88	0.39	1.29	1.13	2.11	1.70	0.88	0.85	0.87	1.18	1.04	1.55	0.75	1.40	0.98	0.87	0.83	1.02	0.55	0.92	0.35	0.38	0.07	0.08	0.08	0.30	0.15	0.08	0.34	0.08	0.75
chr10_17190	6.00	chr10_17190	6.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0.09	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0.08	0	0	0	0	0	0.08
chr10_17210	652.00	chr10_17210	652.00	10.00	6.00	10.00	6.00	11.00	11.00	3.00	6.00	19.00	12.00	3.00	17.00	20.00	23.00	5.00	24.00	11.00	12.00	24.00	12.00	9.00	17.00	9.00	5.00	27.00	29.00	16.00	19.00	8.00	11.00	9.00	12.00	9.00	10.00	14.00	14.00	9.00	7.00	4.00	18.00	11.00	11.00	18.00	15.00	7.00	9.00	14.00	2.00	21.00	12.00	12.00	19.00	0.77	0.43	0.74	0.43	0.76	0.75	0.20	0.48	1.37	0.82	0.24	1.26	0.75	1.73	0.34	1.73	0.80	0.98	1.76	0.93	0.71	1.35	0.71	0.40	2.04	2.55	1.70	1.52	0.68	1.06	0.82	1.04	0.78	0.94	1.16	1.24	0.79	0.58	0.34	1.42	0.78	0.76	1.36	1.08	0.53	0.75	1.04	0.15	1.65	0.81	0.93	1.59
chr10_17228	5.00	chr10_17228	5.00	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0.07	0.07	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0
chr10_17270	8.00	chr10_17270	8.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	1.00	1.00	0	1.00	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0.08	0	0	0	0.07	0.07	0	0.08	0	0	0.08	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0
chr10_17345	2.00	chr10_17345	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0
chr10_17375	27.00	chr10_17375	27.00	1.00	1.00	0	0	0	0	0	3.00	1.00	0	0	2.00	3.00	1.00	0	1.00	0	0	0	0	0	0	0	0	1.00	1.00	2.00	1.00	0	0	0	1.00	0	0	1.00	0	2.00	0	0	0	1.00	0	0	0	0	1.00	0	0	0	3.00	0	0	0.08	0.07	0	0	0	0	0	0.24	0.07	0	0	0.15	0.11	0.08	0	0.07	0	0	0	0	0	0	0	0	0.08	0.09	0.21	0.08	0	0	0	0.09	0	0	0.08	0	0.17	0	0	0	0.07	0	0	0	0	0.08	0	0	0	0.20	0	0
chr10_17376	23.00	chr10_17376	23.00	1.00	1.00	0	0	0	0	0	3.00	1.00	0	0	2.00	3.00	1.00	0	1.00	0	0	0	0	0	0	0	0	1.00	1.00	1.00	1.00	0	0	0	1.00	0	0	1.00	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0.08	0.07	0	0	0	0	0	0.24	0.07	0	0	0.15	0.11	0.08	0	0.07	0	0	0	0	0	0	0	0	0.08	0.09	0.11	0.08	0	0	0	0.09	0	0	0.08	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0
chr10_17446	33.00	chr10_17446	33.00	1.00	1.00	2.00	1.00	1.00	0	0	0	1.00	0	1.00	0	0	0	0	1.00	0	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	1.00	1.00	0	0	1.00	0	0	0	1.00	3.00	2.00	1.00	0	1.00	3.00	2.00	1.00	0	0	2.00	0	2.00	0.08	0.07	0.15	0.07	0.07	0	0	0	0.07	0	0.08	0	0	0	0	0.07	0	0	0	0	0.08	0	0.08	0	0	0	0.11	0	0	0	0.09	0.09	0	0	0.08	0	0	0	0.08	0.24	0.14	0.07	0	0.07	0.23	0.17	0.07	0	0	0.14	0	0.17
chr10_17472	5.00	chr10_17472	5.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.07	0	0	0	0	0.08	0	0	0.08	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17485	90.00	chr10_17485	90.00	0	1.00	2.00	1.00	2.00	4.00	0	2.00	0	1.00	1.00	0	1.00	2.00	0	1.00	2.00	6.00	1.00	1.00	1.00	2.00	2.00	1.00	3.00	0	1.00	1.00	2.00	2.00	5.00	1.00	2.00	4.00	1.00	0	2.00	1.00	1.00	0	0	1.00	1.00	0	1.00	6.00	2.00	2.00	6.00	3.00	2.00	6.00	0	0.07	0.15	0.07	0.14	0.27	0	0.16	0	0.07	0.08	0	0.04	0.15	0	0.07	0.15	0.49	0.07	0.08	0.08	0.16	0.16	0.08	0.23	0	0.11	0.08	0.17	0.19	0.45	0.09	0.17	0.37	0.08	0	0.17	0.08	0.08	0	0	0.07	0.08	0	0.08	0.50	0.15	0.15	0.47	0.20	0.15	0.50
chr10_17563	11.00	chr10_17563	11.00	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	2.00	0	0	1.00	1.00	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.09	0	0	0.17	0	0	0.08	0.08	0	0	0	0	0.07	0	0	0	0	0.08	0	0	0
chr10_17583	47.00	chr10_17583	47.00	2.00	1.00	0	2.00	0	1.00	2.00	1.00	0	1.00	1.00	0	1.00	2.00	0	0	1.00	0	3.00	0	2.00	1.00	1.00	0	2.00	3.00	0	1.00	2.00	0	1.00	0	0	1.00	0	2.00	0	1.00	1.00	1.00	0	1.00	0	1.00	4.00	1.00	1.00	1.00	0	1.00	0	0	0.15	0.07	0	0.14	0	0.07	0.13	0.08	0	0.07	0.08	0	0.04	0.15	0	0	0.07	0	0.22	0	0.16	0.08	0.08	0	0.15	0.26	0	0.08	0.17	0	0.09	0	0	0.09	0	0.18	0	0.08	0.08	0.08	0	0.07	0	0.07	0.31	0.08	0.07	0.07	0	0.07	0	0
chr10_17590	8.00	chr10_17590	8.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	1.00	0	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.09	0	0	0	0.07	0	0	0	0.08	0	0	0	0.08	0	0.08	0
chr10_17636	35.00	chr10_17636	35.00	3.00	0	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	2.00	0	0	0	0	0	0	1.00	1.00	0	1.00	0	1.00	0	0	0	0	0	0	0	2.00	1.00	8.00	0	1.00	3.00	0	4.00	3.00	0	0.23	0	0.07	0.14	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0.10	0.09	0	0.09	0	0.08	0	0	0	0	0	0	0	0.15	0.07	0.61	0	0.07	0.22	0	0.27	0.23	0
chr10_17691	101.00	chr10_17691	101.00	3.00	1.00	4.00	3.00	4.00	3.00	2.00	3.00	1.00	2.00	3.00	2.00	8.00	5.00	2.00	5.00	0	2.00	2.00	2.00	3.00	1.00	2.00	1.00	2.00	3.00	3.00	4.00	1.00	2.00	1.00	2.00	3.00	5.00	1.00	0	1.00	1.00	1.00	0	0	1.00	1.00	1.00	0	0	1.00	2.00	0	0	0	1.00	0.23	0.07	0.30	0.22	0.28	0.20	0.13	0.24	0.07	0.14	0.24	0.15	0.30	0.38	0.14	0.36	0	0.16	0.15	0.15	0.24	0.08	0.16	0.08	0.15	0.26	0.32	0.32	0.09	0.19	0.09	0.17	0.26	0.47	0.08	0	0.09	0.08	0.08	0	0	0.07	0.08	0.07	0	0	0.07	0.15	0	0	0	0.08
chr10_17793	184.00	chr10_17793	184.00	3.00	2.00	1.00	4.00	3.00	2.00	3.00	3.00	3.00	9.00	3.00	3.00	1.00	7.00	2.00	0	9.00	2.00	7.00	3.00	3.00	3.00	6.00	8.00	2.00	3.00	6.00	6.00	4.00	1.00	3.00	4.00	2.00	6.00	4.00	2.00	7.00	0	1.00	4.00	1.00	0	7.00	4.00	5.00	4.00	4.00	3.00	2.00	5.00	2.00	2.00	0.23	0.14	0.07	0.29	0.21	0.14	0.20	0.24	0.22	0.62	0.24	0.22	0.04	0.53	0.14	0	0.66	0.16	0.51	0.23	0.24	0.24	0.47	0.64	0.15	0.26	0.64	0.48	0.34	0.10	0.27	0.35	0.17	0.56	0.33	0.18	0.61	0	0.08	0.32	0.07	0	0.53	0.29	0.38	0.33	0.30	0.22	0.16	0.34	0.15	0.17
chr11_17970	22.00	chr11_17970	22.00	0	1.00	0	0	1.00	0	0	0	3.00	2.00	0	1.00	1.00	0	0	0	0	0	2.00	0	1.00	0	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	1.00	1.00	0	0.07	0	0	0.07	0	0	0	0.22	0.14	0	0.07	0.04	0	0	0	0	0	0.15	0	0.08	0	0.16	0.08	0.08	0	0	0	0	0	0	0	0	0	0.08	0.09	0	0	0	0	0.07	0	0	0.07	0	0	0	0	0	0	0.08	0.08
chr11_18085	61.00	chr11_18085	61.00	0	1.00	1.00	1.00	0	0	1.00	3.00	2.00	0	1.00	0	0	2.00	0	0	1.00	2.00	0	0	1.00	0	2.00	3.00	3.00	2.00	2.00	0	2.00	2.00	0	3.00	0	1.00	1.00	2.00	0	3.00	2.00	0	1.00	1.00	1.00	3.00	2.00	2.00	3.00	1.00	2.00	0	0	1.00	0	0.07	0.07	0.07	0	0	0.07	0.24	0.14	0	0.08	0	0	0.15	0	0	0.07	0.16	0	0	0.08	0	0.16	0.24	0.23	0.18	0.21	0	0.17	0.19	0	0.26	0	0.09	0.08	0.18	0	0.25	0.17	0	0.07	0.07	0.08	0.22	0.15	0.17	0.22	0.07	0.16	0	0	0.08
chr11_18109	10.00	chr11_18109	10.00	0	0	1.00	0	0	0	0	0	0	1.00	0	0	1.00	1.00	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0.07	0	0	0.04	0.08	0.07	0	0	0	0.07	0	0	0	0	0	0	0	0	0.08	0	0	0.09	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0
