#miRNA	read_count	precursor
chr11_18969	80732	chr11_18969
chr11_19065	56	chr11_19065
chr11_19075	15	chr11_19075
chr11_19081	43	chr11_19081
chr11_19126	9	chr11_19126
chr11_19135	21	chr11_19135
chr11_19190	60	chr11_19190
chr11_19220	4	chr11_19220
chr11_19242	19	chr11_19242
chr11_19299	155	chr11_19299
chr11_19320	1	chr11_19320
chr11_19342	39	chr11_19342
chr11_19369	343	chr11_19369
chr11_19387	4	chr11_19387
chr11_19431	23	chr11_19431
chr11_19457	14	chr11_19457
chr11_19502	43	chr11_19502
chr11_19511	2	chr11_19511
chr11_19536	124	chr11_19536
chr11_19564	3	chr11_19564
chr11_19614	84	chr11_19614
chr11_19680	12	chr11_19680
chr12_19710	455	chr12_19710
chr12_19737	3	chr12_19737
chr12_19742	12	chr12_19742
chr12_19803	5	chr12_19803
chr12_19827	7	chr12_19827
chr12_19849	2686	chr12_19849
chr12_19890	4064	chr12_19890
chr12_19935	15	chr12_19935
chr12_19937	30	chr12_19937
chr12_19978	31	chr12_19978
chr12_19993	95	chr12_19993
chr12_19994	97	chr12_19994
chr12_20009	18	chr12_20009
chr12_20014	18	chr12_20014
chr12_20048	148	chr12_20048
chr12_20138	31	chr12_20138
chr12_20198	35	chr12_20198
chr12_20202	8	chr12_20202
chr12_20226	64	chr12_20226
chr12_20230	13	chr12_20230
chr12_20242	183	chr12_20242
chr12_20273	35	chr12_20273
chr12_20290	130	chr12_20290
chr12_20352	7510	chr12_20352
chr12_20361	26	chr12_20361
chr12_20367	4	chr12_20367
chr12_20408	25	chr12_20408
chr12_20440	3	chr12_20440
chr12_20485	5	chr12_20485
chr12_20533	682	chr12_20533
chr12_20540	14	chr12_20540
chr12_20667	141	chr12_20667
chr12_20671	41	chr12_20671
chr12_20694	57	chr12_20694
chr12_20698	7	chr12_20698
chr12_20716	8	chr12_20716
chr12_20739	662	chr12_20739
chr12_20809	33	chr12_20809
chr12_20845	36	chr12_20845
chr12_20881	22	chr12_20881
chr12_20912	66	chr12_20912
chr12_20956	246	chr12_20956
chr12_20964	35	chr12_20964
chr12_21025	18	chr12_21025
chr12_21030	24	chr12_21030
chr12_21068	77	chr12_21068
chr12_21070	68	chr12_21070
chr12_21074	32	chr12_21074
chr12_21112	28	chr12_21112
chr13_21183	20	chr13_21183
chr13_21191	8089	chr13_21191
chr13_21196	15	chr13_21196
chr13_21299	58	chr13_21299
chr13_21332	155	chr13_21332
chr13_21378	20	chr13_21378
chr13_21436	9	chr13_21436
chr13_21450	12	chr13_21450
chr13_21511	24	chr13_21511
chr13_21593	6656	chr13_21593
chr14_21710	14	chr14_21710
chr14_21711	244	chr14_21711
chr14_21725	87	chr14_21725
chr14_21739	1	chr14_21739
chr14_21910	2	chr14_21910
chr14_21939	8	chr14_21939
chr14_22019	12	chr14_22019
chr14_22164	73	chr14_22164
chr14_22238	15	chr14_22238
chr14_22262	1	chr14_22262
chr14_22265	2	chr14_22265
chr14_22275	13	chr14_22275
chr14_22427	22	chr14_22427
chr14_22520	44801	chr14_22520
chr14_22522	28	chr14_22522
chr14_22577	4	chr14_22577
chr14_22610	37	chr14_22610
chr14_22620	1933	chr14_22620
chr14_22639	3365	chr14_22639
chr15_22815	25	chr15_22815
chr15_22837	9	chr15_22837
chr15_22886	8	chr15_22886
chr15_22889	11	chr15_22889
chr15_22901	235	chr15_22901
chr15_22907	4	chr15_22907
chr15_22962	18	chr15_22962
chr15_22994	5	chr15_22994
chr15_23028	10	chr15_23028
chr15_23117	6	chr15_23117
chr15_23121	126	chr15_23121
chr15_23196	15	chr15_23196
chr15_23253	213	chr15_23253
chr15_23296	17	chr15_23296
chr15_23302	8	chr15_23302
chr15_23319	14	chr15_23319
chr15_23322	48	chr15_23322
chr15_23346	12	chr15_23346
chr15_23372	467	chr15_23372
chr15_23378	17	chr15_23378
chr15_23422	32	chr15_23422
chr15_23476	5	chr15_23476
chr15_23481	1063	chr15_23481
chr15_23516	126	chr15_23516
chr15_23519	91	chr15_23519
chr15_23530	952	chr15_23530
chr15_23588	10	chr15_23588
chr15_23634	33	chr15_23634
chr16_23739	164	chr16_23739
chr16_23749	4	chr16_23749
chr16_23774	19	chr16_23774
chr16_23787	16	chr16_23787
chr16_23824	4	chr16_23824
chr16_23840	2	chr16_23840
chr16_23952	3	chr16_23952
chr16_23989	11139	chr16_23989
chr16_24013	94	chr16_24013
chr16_24046	2	chr16_24046
chr16_24085	17	chr16_24085
chr16_24086	2	chr16_24086
chr16_24174	136	chr16_24174
chr16_24175	4	chr16_24175
chr16_24215	10	chr16_24215
chr16_24222	136	chr16_24222
chr16_24243	7	chr16_24243
chr16_24257	15	chr16_24257
chr16_24392	34	chr16_24392
chr16_24398	16	chr16_24398
chr16_24433	16	chr16_24433
chr16_24473	69	chr16_24473
chr16_24480	81	chr16_24480
chr16_24525	223	chr16_24525
chr16_24554	141	chr16_24554
chr16_24639	1	chr16_24639
chr16_24649	8	chr16_24649
chr16_24660	6	chr16_24660
chr16_24783	28	chr16_24783
chr16_24852	481	chr16_24852
chr16_24871	11	chr16_24871
chr16_24874	3501	chr16_24874
chr16_24893	2	chr16_24893
chr16_24909	2	chr16_24909
chr16_24956	116	chr16_24956
chr16_24966	116	chr16_24966
chr16_25051	152	chr16_25051
chr16_25141	1477	chr16_25141
chr16_25143	896	chr16_25143
chr16_25236	9	chr16_25236
chr16_25239	100	chr16_25239
chr16_25324	14	chr16_25324
chr16_25344	64	chr16_25344
chr16_25356	13	chr16_25356
chr16_25362	12	chr16_25362
chr17_25411	12	chr17_25411
chr17_25443	48	chr17_25443
chr17_25451	8	chr17_25451
chr17_25471	3	chr17_25471
chr17_25485	0	chr17_25485
chr17_25667	2	chr17_25667
chr17_25671	87	chr17_25671
chr17_25677	6	chr17_25677
chr17_25685	17	chr17_25685
chr17_25702	4	chr17_25702
chr17_25715	70	chr17_25715
chr17_25739	29	chr17_25739
chr17_25743	35	chr17_25743
chr17_25773	9	chr17_25773
chr17_25801	1539	chr17_25801
chr17_25819	459	chr17_25819
chr17_25843	109	chr17_25843
chr17_25845	23	chr17_25845
chr17_25857	8	chr17_25857
chr17_25905	172	chr17_25905
chr17_25948	1240	chr17_25948
chr17_25951	1090	chr17_25951
chr17_25983	65	chr17_25983
chr17_26017	244	chr17_26017
chr17_26080	19	chr17_26080
chr17_26132	34	chr17_26132
chr17_26206	233	chr17_26206
chr17_26243	73	chr17_26243
chr17_26245	308	chr17_26245
chr17_26271	37	chr17_26271
chr17_26285	13	chr17_26285
chr17_26326	9	chr17_26326
chr17_26428	8	chr17_26428
chr17_26429	401	chr17_26429
chr17_26586	27	chr17_26586
chr17_26598	14	chr17_26598
chr17_26713	60	chr17_26713
chr17_26810	31	chr17_26810
chr17_26817	6	chr17_26817
chr17_26826	39	chr17_26826
chr17_26868	24	chr17_26868
chr17_26869	11	chr17_26869
chr17_26878	3	chr17_26878
chr17_26890	325	chr17_26890
chr17_26903	34	chr17_26903
chr17_26938	6	chr17_26938
chr17_27027	19	chr17_27027
chr17_27089	34	chr17_27089
chr17_27113	56	chr17_27113
chr17_27125	305	chr17_27125
chr17_27126	1244	chr17_27126
chr17_27130	14	chr17_27130
chr17_27154	4	chr17_27154
chr17_27160	16	chr17_27160
chr17_27174	2	chr17_27174
chr17_27227	40	chr17_27227
chr17_27242	14	chr17_27242
chr17_27249	34	chr17_27249
chr17_27273	201	chr17_27273
chr17_27274	192	chr17_27274
chr17_27304	13	chr17_27304
chr18_27360	9	chr18_27360
chr18_27388	45	chr18_27388
chr18_27395	9	chr18_27395
chr18_27529	34	chr18_27529
chr18_27601	1609	chr18_27601
chr18_27740	2	chr18_27740
chr18_27838	39	chr18_27838
chr19_27865	6	chr19_27865
chr19_27869	137	chr19_27869
chr19_27870	137	chr19_27870
chr19_27872	140	chr19_27872
chr19_27960	25	chr19_27960
chr19_27989	5	chr19_27989
chr19_28028	2	chr19_28028
chr19_28030	18	chr19_28030
chr19_28062	30	chr19_28062
chr19_28066	18	chr19_28066
chr19_28069	10	chr19_28069
chr19_28077	6	chr19_28077
chr19_28091	8	chr19_28091
chr19_28222	37	chr19_28222
chr19_28233	2658	chr19_28233
chr19_28290	192	chr19_28290
chr19_28297	11	chr19_28297
chr19_28315	3	chr19_28315
chr19_28332	38	chr19_28332
chr19_28422	158	chr19_28422
chr19_28469	17	chr19_28469
chr19_28475	28	chr19_28475
chr19_28499	18	chr19_28499
chr19_28597	10	chr19_28597
chr19_28606	29	chr19_28606
chr19_28669	25	chr19_28669
chr19_28729	17	chr19_28729
chr19_28794	8	chr19_28794
chr19_28797	9	chr19_28797
chr19_28884	1981	chr19_28884
chr19_28928	9	chr19_28928
chr19_28932	44	chr19_28932
chr19_28944	5	chr19_28944
chr19_28962	325	chr19_28962
chr19_28989	26	chr19_28989
chr19_29024	10	chr19_29024
chr19_29028	85	chr19_29028
chr19_29058	6	chr19_29058
chr19_29088	8	chr19_29088
chr19_29098	24	chr19_29098
chr19_29111	47	chr19_29111
chr19_29144	25	chr19_29144
chr19_29240	64	chr19_29240
chr19_29250	7	chr19_29250
chr19_29300	8	chr19_29300
chr19_29332	75	chr19_29332
chr19_29368	4	chr19_29368
chr19_29379	15	chr19_29379
chr19_29397	29	chr19_29397
chr19_29416	3	chr19_29416
chr19_29431	12	chr19_29431
chr19_29456	45	chr19_29456
chr19_29506	20	chr19_29506
chr19_29518	21	chr19_29518
chr19_29646	116	chr19_29646
chr19_29686	97	chr19_29686
chr19_29716	18	chr19_29716
chr19_29733	2	chr19_29733
chr19_29786	11	chr19_29786
chr19_29820	15	chr19_29820
chr19_29859	423	chr19_29859
chr1_1006	3	chr1_1006
chr1_1083	86	chr1_1083
chr1_1099	26	chr1_1099
chr1_112	33	chr1_112
chr1_1128	20	chr1_1128
chr1_1153	34	chr1_1153
chr1_1271	6	chr1_1271
chr1_1275	9	chr1_1275
chr1_1276	8	chr1_1276
chr1_1280	3	chr1_1280
chr1_1290	15	chr1_1290
chr1_1310	1040	chr1_1310
chr1_1324	24	chr1_1324
chr1_1426	7	chr1_1426
chr1_1428	5	chr1_1428
chr1_1465	11	chr1_1465
chr1_1488	19895	chr1_1488
chr1_150	27	chr1_150
chr1_1505	26	chr1_1505
chr1_1525	2	chr1_1525
chr1_1574	5	chr1_1574
chr1_1603	5	chr1_1603
chr1_1623	91	chr1_1623
chr1_1669	7	chr1_1669
chr1_1724	87	chr1_1724
chr1_1749	9	chr1_1749
chr1_1789	8	chr1_1789
chr1_1810	79	chr1_1810
chr1_1841	2435	chr1_1841
chr1_1849	26	chr1_1849
chr1_1978	10	chr1_1978
chr1_203	50	chr1_203
chr1_2040	11	chr1_2040
chr1_2077	2	chr1_2077
chr1_2179	18	chr1_2179
chr1_2198	23	chr1_2198
chr1_2224	9	chr1_2224
chr1_2244	22	chr1_2244
chr1_2324	10	chr1_2324
chr1_2434	354	chr1_2434
chr1_2454	528	chr1_2454
chr1_2508	27	chr1_2508
chr1_2516	25	chr1_2516
chr1_2526	11	chr1_2526
chr1_2529	4	chr1_2529
chr1_2545	9	chr1_2545
chr1_2573	11	chr1_2573
chr1_2589	11	chr1_2589
chr1_2603	4	chr1_2603
chr1_268	5	chr1_268
chr1_2696	10	chr1_2696
chr1_2794	19	chr1_2794
chr1_2816	7	chr1_2816
chr1_2832	11	chr1_2832
chr1_2844	34	chr1_2844
chr1_2848	507	chr1_2848
chr1_2936	44	chr1_2936
chr1_2988	258	chr1_2988
chr1_3014	262	chr1_3014
chr1_3032	41	chr1_3032
chr1_3156	9	chr1_3156
chr1_3169	2934	chr1_3169
chr1_3247	24	chr1_3247
chr1_3292	9	chr1_3292
chr1_3322	22	chr1_3322
chr1_3334	528	chr1_3334
chr1_3335	12	chr1_3335
chr1_373	10	chr1_373
chr1_428	11	chr1_428
chr1_431	1	chr1_431
chr1_442	210	chr1_442
chr1_545	16	chr1_545
chr1_557	17	chr1_557
chr1_565	18	chr1_565
chr1_599	25	chr1_599
chr1_710	15	chr1_710
chr1_797	354	chr1_797
chr1_799	8	chr1_799
chr1_840	23	chr1_840
chr20_29874	15	chr20_29874
chr20_29879	35	chr20_29879
chr20_29907	22	chr20_29907
chr20_30017	25	chr20_30017
chr20_30069	36	chr20_30069
chr20_30114	192	chr20_30114
chr20_30144	74	chr20_30144
chr20_30193	38	chr20_30193
chr20_30249	23	chr20_30249
chr20_30259	536	chr20_30259
chr20_30283	13	chr20_30283
chr20_30340	61	chr20_30340
chr20_30361	18	chr20_30361
chr20_30362	17	chr20_30362
chr20_30447	45	chr20_30447
chr20_30490	51	chr20_30490
chr20_30500	2	chr20_30500
chr20_30502	36	chr20_30502
chr20_30601	10	chr20_30601
chr21_30746	9	chr21_30746
chr21_30836	4	chr21_30836
chr21_30867	8094	chr21_30867
chr21_30909	17	chr21_30909
chr21_30937	78	chr21_30937
chr21_30984	7	chr21_30984
chr21_30993	8	chr21_30993
chr21_31037	7	chr21_31037
chr21_31096	12	chr21_31096
chr22_31117	174	chr22_31117
chr22_31122	28	chr22_31122
chr22_31130	4734	chr22_31130
chr22_31135	8	chr22_31135
chr22_31152	330	chr22_31152
chr22_31256	152997	chr22_31256
chr22_31269	22	chr22_31269
chr22_31277	84	chr22_31277
chr22_31283	512	chr22_31283
chr22_31307	39	chr22_31307
chr22_31355	4	chr22_31355
chr22_31369	54	chr22_31369
chr22_31412	15	chr22_31412
chr22_31443	14	chr22_31443
chr22_31474	277	chr22_31474
chr22_31493	7520	chr22_31493
chr22_31499	10	chr22_31499
chr22_31545	8	chr22_31545
chr22_31607	4	chr22_31607
chr22_31653	13032	chr22_31653
chr22_31719	9	chr22_31719
chr22_31721	6	chr22_31721
chr22_31792	3658	chr22_31792
chr22_31812	3	chr22_31812
chr22_31822	4	chr22_31822
chr22_31842	5	chr22_31842
chr22_31878	7	chr22_31878
chr22_31882	70	chr22_31882
chr22_31887	16	chr22_31887
chr22_31893	704	chr22_31893
chr22_31945	12	chr22_31945
chr22_31956	26	chr22_31956
chr22_31985	15	chr22_31985
chr22_31991	65	chr22_31991
chr2_3419	42	chr2_3419
chr2_3427	7	chr2_3427
chr2_3470	294	chr2_3470
chr2_3490	21	chr2_3490
chr2_3704	5	chr2_3704
chr2_3717	13	chr2_3717
chr2_3752	12	chr2_3752
chr2_3776	7	chr2_3776
chr2_3783	204	chr2_3783
chr2_3845	11	chr2_3845
chr2_3852	2	chr2_3852
chr2_3862	7	chr2_3862
chr2_3909	13	chr2_3909
chr2_3923	9	chr2_3923
chr2_3941	94	chr2_3941
chr2_3988	45	chr2_3988
chr2_4005	9	chr2_4005
chr2_4068	51	chr2_4068
chr2_4115	7	chr2_4115
chr2_4159	28	chr2_4159
chr2_4264	848	chr2_4264
chr2_4289	31	chr2_4289
chr2_4414	23	chr2_4414
chr2_4427	12	chr2_4427
chr2_4489	235	chr2_4489
chr2_4511	160	chr2_4511
chr2_4530	682	chr2_4530
chr2_4591	2	chr2_4591
chr2_4689	29	chr2_4689
chr2_4691	317	chr2_4691
chr2_4794	1085	chr2_4794
chr2_4807	14	chr2_4807
chr2_4848	10	chr2_4848
chr2_4888	14	chr2_4888
chr2_4897	10	chr2_4897
chr2_5007	10	chr2_5007
chr2_5028	132	chr2_5028
chr2_5033	6	chr2_5033
chr2_5050	13	chr2_5050
chr2_5052	10	chr2_5052
chr2_5074	13	chr2_5074
chr2_5078	9	chr2_5078
chr2_5084	42	chr2_5084
chr2_5110	11	chr2_5110
chr2_5125	2	chr2_5125
chr2_5218	7	chr2_5218
chr2_5237	5454	chr2_5237
chr2_5400	57	chr2_5400
chr2_5425	14	chr2_5425
chr2_5447	14	chr2_5447
chr2_5580	58	chr2_5580
chr2_5601	6	chr2_5601
chr2_5665	15	chr2_5665
chr2_5667	15	chr2_5667
chr3_5772	3	chr3_5772
chr3_5804	8	chr3_5804
chr3_5821	8	chr3_5821
chr3_5948	85	chr3_5948
chr3_5982	61	chr3_5982
chr3_5988	17	chr3_5988
chr3_5989	1	chr3_5989
chr3_5995	14	chr3_5995
chr3_6013	18	chr3_6013
chr3_6050	9	chr3_6050
chr3_6061	1	chr3_6061
chr3_6097	6	chr3_6097
chr3_6255	1	chr3_6255
chr3_6355	11	chr3_6355
chr3_6412	14	chr3_6412
chr3_6462	109	chr3_6462
chr3_6504	21	chr3_6504
chr3_6529	8	chr3_6529
chr3_6551	119	chr3_6551
chr3_6569	13	chr3_6569
chr3_6603	13	chr3_6603
chr3_6627	43	chr3_6627
chr3_6642	8	chr3_6642
chr3_6644	364	chr3_6644
chr3_6658	39	chr3_6658
chr3_6690	28	chr3_6690
chr3_6696	3	chr3_6696
chr3_6779	11	chr3_6779
chr3_6828	68	chr3_6828
chr3_6867	1	chr3_6867
chr3_6894	1	chr3_6894
chr3_6991	14	chr3_6991
chr3_7051	14	chr3_7051
chr3_7053	46	chr3_7053
chr3_7054	37	chr3_7054
chr3_7100	17	chr3_7100
chr3_7242	56	chr3_7242
chr3_7350	270	chr3_7350
chr3_7364	5	chr3_7364
chr3_7395	422	chr3_7395
chr3_7471	16	chr3_7471
chr3_7496	9	chr3_7496
chr4_7545	19	chr4_7545
chr4_7565	1073	chr4_7565
chr4_7653	4	chr4_7653
chr4_7710	15	chr4_7710
chr4_7733	1	chr4_7733
chr4_7805	4	chr4_7805
chr4_7806	4	chr4_7806
chr4_7812	12	chr4_7812
chr4_7861	4	chr4_7861
chr4_7926	12	chr4_7926
chr4_7955	11	chr4_7955
chr4_7964	2	chr4_7964
chr4_7981	192	chr4_7981
chr4_8013	40	chr4_8013
chr4_8015	7	chr4_8015
chr4_8151	2	chr4_8151
chr4_8172	3272	chr4_8172
chr4_8197	415	chr4_8197
chr4_8262	89	chr4_8262
chr4_8263	521	chr4_8263
chr4_8290	1688	chr4_8290
chr4_8296	4	chr4_8296
chr4_8414	14	chr4_8414
chr4_8488	11	chr4_8488
chr4_8503	2	chr4_8503
chr4_8605	5	chr4_8605
chr5_10013	27	chr5_10013
chr5_10016	143	chr5_10016
chr5_10018	109	chr5_10018
chr5_8684	57	chr5_8684
chr5_8759	21	chr5_8759
chr5_8761	9	chr5_8761
chr5_8866	72	chr5_8866
chr5_8970	9	chr5_8970
chr5_9083	57	chr5_9083
chr5_9230	3	chr5_9230
chr5_9245	7	chr5_9245
chr5_9259	23	chr5_9259
chr5_9302	23	chr5_9302
chr5_9303	12	chr5_9303
chr5_9305	67	chr5_9305
chr5_9384	6	chr5_9384
chr5_9451	9	chr5_9451
chr5_9490	20	chr5_9490
chr5_9512	9	chr5_9512
chr5_9558	18	chr5_9558
chr5_9692	23	chr5_9692
chr5_9747	6	chr5_9747
chr5_9751	62	chr5_9751
chr5_9791	494	chr5_9791
chr5_9889	12	chr5_9889
chr5_9910	5	chr5_9910
chr5_9915	14	chr5_9915
chr5_9916	10	chr5_9916
chr5_9925	30	chr5_9925
chr5_9967	17	chr5_9967
chr5_9984	29	chr5_9984
chr6_10099	16	chr6_10099
chr6_10102	17	chr6_10102
chr6_10159	14	chr6_10159
chr6_10196	5	chr6_10196
chr6_10196	1	chr6_10196
chr6_10316	855	chr6_10316
chr6_10435	106	chr6_10435
chr6_10580	19	chr6_10580
chr6_10586	14	chr6_10586
chr6_10635	5	chr6_10635
chr6_10637	87	chr6_10637
chr6_10657	15	chr6_10657
chr6_10658	14	chr6_10658
chr6_10807	22820	chr6_10807
chr6_10828	9	chr6_10828
chr6_10863	255	chr6_10863
chr6_10911	1	chr6_10911
chr6_10970	45	chr6_10970
chr6_11088	2	chr6_11088
chr6_11194	12	chr6_11194
chr6_11197	62	chr6_11197
chr6_11204	13	chr6_11204
chr6_11212	12	chr6_11212
chr6_11254	225	chr6_11254
chr6_11291	37	chr6_11291
chr6_11378	31186	chr6_11378
chr6_11540	3	chr6_11540
chr6_11602	6	chr6_11602
chr6_11695	19	chr6_11695
chr6_11699	130	chr6_11699
chr6_11736	41	chr6_11736
chr6_11744	11	chr6_11744
chr6_11823	102	chr6_11823
chr6_11926	186	chr6_11926
chr6_11931	17	chr6_11931
chr6_11955	41	chr6_11955
chr6_12105	306	chr6_12105
chr7_12280	44	chr7_12280
chr7_12291	44	chr7_12291
chr7_12305	18	chr7_12305
chr7_12341	7	chr7_12341
chr7_12342	13	chr7_12342
chr7_12409	22	chr7_12409
chr7_12459	8	chr7_12459
chr7_12493	8	chr7_12493
chr7_12585	2	chr7_12585
chr7_12627	12	chr7_12627
chr7_12629	1	chr7_12629
chr7_12652	11	chr7_12652
chr7_12674	35	chr7_12674
chr7_12714	10	chr7_12714
chr7_12766	3	chr7_12766
chr7_12768	12	chr7_12768
chr7_12829	6	chr7_12829
chr7_12936	77	chr7_12936
chr7_12992	2	chr7_12992
chr7_13018	19	chr7_13018
chr7_13084	13	chr7_13084
chr7_13090	14	chr7_13090
chr7_13097	2	chr7_13097
chr7_13105	2	chr7_13105
chr7_13139	1330	chr7_13139
chr7_13140	916	chr7_13140
chr7_13178	86	chr7_13178
chr7_13272	22	chr7_13272
chr7_13278	14	chr7_13278
chr7_13392	9	chr7_13392
chr7_13398	2	chr7_13398
chr7_13442	12	chr7_13442
chr7_13443	5	chr7_13443
chr7_13522	148	chr7_13522
chr7_13554	9	chr7_13554
chr7_13606	187	chr7_13606
chr7_13634	8	chr7_13634
chr7_13693	674	chr7_13693
chr7_13697	231	chr7_13697
chr7_13725	311	chr7_13725
chr7_13729	11	chr7_13729
chr7_13748	7	chr7_13748
chr7_13754	1	chr7_13754
chr7_13796	24	chr7_13796
chr8_13903	18	chr8_13903
chr8_13910	9	chr8_13910
chr8_14062	1	chr8_14062
chr8_14105	154	chr8_14105
chr8_14223	141	chr8_14223
chr8_14231	20	chr8_14231
chr8_14257	15	chr8_14257
chr8_14314	427	chr8_14314
chr8_14327	63	chr8_14327
chr8_14337	9	chr8_14337
chr8_14365	997	chr8_14365
chr8_14379	303	chr8_14379
chr8_14437	393	chr8_14437
chr8_14455	1	chr8_14455
chr8_14480	4	chr8_14480
chr8_14530	4	chr8_14530
chr8_14535	51	chr8_14535
chr8_14619	77	chr8_14619
chr8_14621	846	chr8_14621
chr8_14665	12	chr8_14665
chr8_14675	13	chr8_14675
chr8_14720	9	chr8_14720
chr8_14722	2	chr8_14722
chr8_14735	384	chr8_14735
chr8_14803	11	chr8_14803
chr8_14868	174	chr8_14868
chr8_14900	22	chr8_14900
chr8_14919	12	chr8_14919
chr8_14965	11	chr8_14965
chr8_14976	649	chr8_14976
chr8_14990	2	chr8_14990
chr8_15015	40	chr8_15015
chr8_15020	6	chr8_15020
chr8_15035	1	chr8_15035
chr8_15086	7	chr8_15086
chr8_15102	7	chr8_15102
chr8_15114	14	chr8_15114
chr8_15130	6	chr8_15130
chr8_15132	51	chr8_15132
chr8_15143	24	chr8_15143
chr9_15196	49	chr9_15196
chr9_15276	8	chr9_15276
chr9_15311	38	chr9_15311
chr9_15353	5	chr9_15353
chr9_15398	8	chr9_15398
chr9_15473	9	chr9_15473
chr9_15665	297716	chr9_15665
chr9_15746	34	chr9_15746
chr9_15770	202	chr9_15770
chr9_15891	23	chr9_15891
chr9_15917	29	chr9_15917
chr9_15932	7	chr9_15932
chr9_16079	939	chr9_16079
chr9_16095	45	chr9_16095
chr9_16121	11	chr9_16121
chr9_16143	15	chr9_16143
chr9_16154	2	chr9_16154
chr9_16194	28	chr9_16194
chr9_16328	15	chr9_16328
chr9_16381	2	chr9_16381
chrX_32098	12	chrX_32098
chrX_32099	202	chrX_32099
chrX_32143	21	chrX_32143
chrX_32331	4	chrX_32331
chrX_32380	18	chrX_32380
chrX_32403	17	chrX_32403
chrX_32490	1	chrX_32490
chrX_32525	20	chrX_32525
chrX_32654	5	chrX_32654
chrX_32689	8	chrX_32689
chrX_32730	2	chrX_32730
chrX_32786	62	chrX_32786
chrX_32806	4	chrX_32806
chrX_32872	2	chrX_32872
chrX_32894	67	chrX_32894
chrX_32935	16	chrX_32935
chrX_32974	4	chrX_32974
chrX_33106	22	chrX_33106
chrX_33114	1548	chrX_33114
chrX_33128	46	chrX_33128
chrY_33308	5	chrY_33308
hsa-let-7a-5p	213702	hsa-let-7a-1
hsa-let-7a-5p	213745	hsa-let-7a-2
hsa-let-7a-5p	213786	hsa-let-7a-3
hsa-let-7b-5p	54068	hsa-let-7b
hsa-let-7c-5p	2862	hsa-let-7c
hsa-let-7d-5p	17380	hsa-let-7d
hsa-let-7e-5p	531	hsa-let-7e
hsa-let-7f-5p	140958	hsa-let-7f-1
hsa-let-7f-5p	141505	hsa-let-7f-2
hsa-let-7g-5p	46358	hsa-let-7g
hsa-let-7i-5p	183497	hsa-let-7i
hsa-miR-1-5p	0	hsa-mir-1-1
hsa-miR-100-5p	23360	hsa-mir-100
hsa-miR-101-5p	111	hsa-mir-101-1
hsa-miR-103a-2-5p	116	hsa-mir-103a-2
hsa-miR-103b	0	hsa-mir-103b-1
hsa-miR-103b	0	hsa-mir-103b-2
hsa-miR-105-5p	0	hsa-mir-105-1
hsa-miR-105-5p	0	hsa-mir-105-2
hsa-miR-106a-5p	798	hsa-mir-106a
hsa-miR-106b-5p	7137	hsa-mir-106b
hsa-miR-10a-5p	58179	hsa-mir-10a
hsa-miR-10b-5p	3747	hsa-mir-10b
hsa-miR-1178-5p	0	hsa-mir-1178
hsa-miR-1179	21	hsa-mir-1179
hsa-miR-1180-5p	3	hsa-mir-1180
hsa-miR-1181	0	hsa-mir-1181
hsa-miR-1185-5p	0	hsa-mir-1185-1
hsa-miR-1185-5p	0	hsa-mir-1185-2
hsa-miR-1193	1	hsa-mir-1193
hsa-miR-1199-5p	0	hsa-mir-1199
hsa-miR-1200	0	hsa-mir-1200
