#miRNA	read_count	precursor	total	aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb	aaa(norm)	aab(norm)	aac(norm)	aad(norm)	aae(norm)	aaf(norm)	aag(norm)	aah(norm)	aai(norm)	aaj(norm)	aak(norm)	aal(norm)	aam(norm)	aan(norm)	aao(norm)	aap(norm)	aaq(norm)	aar(norm)	aas(norm)	aat(norm)	aau(norm)	aav(norm)	aaw(norm)	aay(norm)	aaz(norm)	aba(norm)	abb(norm)	abc(norm)	abd(norm)	abe(norm)	abf(norm)	abg(norm)	abh(norm)	abi(norm)	abj(norm)	abk(norm)	abl(norm)	abm(norm)	abn(norm)	abo(norm)	abp(norm)	abq(norm)	abr(norm)	abs(norm)	abt(norm)	abu(norm)	abv(norm)	abw(norm)	aby(norm)	abz(norm)	aca(norm)	acb(norm)
hsa-let-7i-5p	183497.00	hsa-let-7i	183497.00	2120.00	1904.00	2460.00	2874.00	2409.00	5053.00	3341.00	3033.00	3814.00	2063.00	3352.00	3081.00	5282.00	3394.00	472.00	5048.00	2093.00	4509.00	5921.00	3291.00	1854.00	3199.00	3691.00	3089.00	3565.00	3889.00	5967.00	3012.00	1685.00	4421.00	2395.00	2807.00	3499.00	3910.00	5813.00	1824.00	4014.00	2456.00	3593.00	2581.00	2061.00	3374.00	2663.00	1354.00	2740.00	2425.00	1829.00	25305.00	1052.00	5188.00	961.00	1767.00	164.02	135.27	183.40	208.10	165.79	343.96	219.85	241.61	274.41	141.66	266.41	228.38	198.13	255.72	32.13	365.21	153.00	370.14	435.09	255.23	145.86	255.01	289.97	248.24	269.47	342.15	637.94	241.91	143.76	428.62	217.34	244.31	302.20	366.46	480.69	162.29	351.33	204.84	304.12	203.49	145.97	233.78	201.32	97.73	209.25	202.56	135.45	1843.25	82.49	352.35	74.12	148.22
hsa-miR-1-5p	0.00	hsa-mir-1-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-5p	23360.00	hsa-mir-100	23360.00	750.00	638.00	760.00	805.00	240.00	29.00	948.00	440.00	344.00	9.00	7.00	5.00	822.00	544.00	4.00	362.00	24.00	153.00	9.00	1064.00	26.00	806.00	449.00	199.00	611.00	149.00	6.00	14.00	7.00	12.00	394.00	395.00	894.00	19.00	2.00	209.00	14.00	702.00	17.00	793.00	446.00	59.00	684.00	630.00	4409.00	7.00	1250.00	19.00	9.00	2147.00	10.00	15.00	58.03	45.33	56.66	58.29	16.52	1.97	62.38	35.05	24.75	0.62	0.56	0.37	30.83	40.99	0.27	26.19	1.75	12.56	0.66	82.52	2.05	64.25	35.27	15.99	46.18	13.11	0.64	1.12	0.60	1.16	35.75	34.38	77.21	1.78	0.17	18.60	1.23	58.55	1.44	62.52	31.59	4.09	51.71	45.47	336.70	0.58	92.57	1.38	0.71	145.82	0.77	1.26
hsa-miR-101-5p	111.00	hsa-mir-101-1	111.00	3.00	1.00	0	1.00	4.00	3.00	5.00	3.00	3.00	1.00	1.00	4.00	2.00	7.00	0	6.00	3.00	2.00	7.00	1.00	0	7.00	1.00	2.00	3.00	0	0	2.00	0	3.00	2.00	1.00	0	6.00	1.00	1.00	3.00	1.00	1.00	1.00	0	0	0	2.00	3.00	6.00	0	2.00	0	2.00	3.00	1.00	0.23	0.07	0	0.07	0.28	0.20	0.33	0.24	0.22	0.07	0.08	0.30	0.08	0.53	0	0.43	0.22	0.16	0.51	0.08	0	0.56	0.08	0.16	0.23	0	0	0.16	0	0.29	0.18	0.09	0	0.56	0.08	0.09	0.26	0.08	0.08	0.08	0	0	0	0.14	0.23	0.50	0	0.15	0	0.14	0.23	0.08
hsa-miR-103a-2-5p	116.00	hsa-mir-103a-2	116.00	2.00	2.00	0	0	3.00	3.00	1.00	5.00	3.00	1.00	1.00	2.00	6.00	0	2.00	2.00	2.00	1.00	6.00	0	5.00	3.00	4.00	3.00	1.00	0	1.00	0	0	1.00	2.00	2.00	3.00	3.00	2.00	0	3.00	3.00	2.00	4.00	0	0	3.00	0	12.00	0	3.00	0	3.00	4.00	4.00	3.00	0.15	0.14	0	0	0.21	0.20	0.07	0.40	0.22	0.07	0.08	0.15	0.23	0	0.14	0.14	0.15	0.08	0.44	0	0.39	0.24	0.31	0.24	0.08	0	0.11	0	0	0.10	0.18	0.17	0.26	0.28	0.17	0	0.26	0.25	0.17	0.32	0	0	0.23	0	0.92	0	0.22	0	0.24	0.27	0.31	0.25
hsa-miR-103b	0.00	hsa-mir-103b-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-103b	0.00	hsa-mir-103b-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	0.00	hsa-mir-105-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	0.00	hsa-mir-105-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-106a-5p	798.00	hsa-mir-106a	798.00	19.00	10.00	18.00	21.00	12.00	18.00	21.00	11.00	11.00	9.00	17.00	20.00	26.00	14.00	0	39.00	11.00	17.00	23.00	14.00	5.00	22.00	27.00	9.00	10.00	11.00	17.00	17.00	6.00	17.00	13.00	14.00	12.00	17.00	26.00	3.00	21.00	6.00	11.00	7.00	8.00	3.00	0	14.00	8.00	20.00	7.00	87.00	7.00	27.00	2.00	13.00	1.47	0.71	1.34	1.52	0.83	1.23	1.38	0.88	0.79	0.62	1.35	1.48	0.98	1.05	0	2.82	0.80	1.40	1.69	1.09	0.39	1.75	2.12	0.72	0.76	0.97	1.82	1.37	0.51	1.65	1.18	1.22	1.04	1.59	2.15	0.27	1.84	0.50	0.93	0.55	0.57	0.21	0	1.01	0.61	1.67	0.52	6.34	0.55	1.83	0.15	1.09
hsa-miR-106b-5p	7137.00	hsa-mir-106b	7137.00	177.00	110.00	107.00	158.00	107.00	144.00	178.00	125.00	162.00	72.00	162.00	168.00	239.00	164.00	6.00	245.00	151.00	175.00	269.00	81.00	77.00	167.00	118.00	118.00	129.00	100.00	125.00	121.00	82.00	168.00	114.00	96.00	126.00	191.00	131.00	36.00	179.00	103.00	45.00	52.00	53.00	22.00	39.00	208.00	115.00	212.00	109.00	521.00	58.00	248.00	116.00	158.00	13.69	7.82	7.98	11.44	7.36	9.80	11.71	9.96	11.66	4.94	12.88	12.45	8.96	12.36	0.41	17.73	11.04	14.37	19.77	6.28	6.06	13.31	9.27	9.48	9.75	8.80	13.36	9.72	7.00	16.29	10.35	8.36	10.88	17.90	10.83	3.20	15.67	8.59	3.81	4.10	3.75	1.52	2.95	15.01	8.78	17.71	8.07	37.95	4.55	16.84	8.95	13.25
hsa-miR-10a-5p	58179.00	hsa-mir-10a	58179.00	765.00	442.00	1071.00	1436.00	1781.00	970.00	823.00	438.00	1013.00	1759.00	1394.00	1480.00	1781.00	680.00	283.00	333.00	1516.00	584.00	607.00	984.00	789.00	800.00	1034.00	1862.00	1434.00	303.00	1364.00	1405.00	758.00	959.00	1094.00	506.00	937.00	966.00	1442.00	401.00	649.00	854.00	672.00	1105.00	724.00	288.00	942.00	1587.00	2361.00	2922.00	1543.00	1245.00	608.00	814.00	2960.00	2711.00	59.19	31.40	79.85	103.98	122.57	66.03	54.16	34.89	72.88	120.79	110.79	109.70	66.80	51.23	19.26	24.09	110.82	47.94	44.60	76.31	62.07	63.77	81.23	149.64	108.39	26.66	145.83	112.84	64.67	92.98	99.28	44.04	80.93	90.54	119.24	35.68	56.80	71.23	56.88	87.12	51.28	19.96	71.21	114.55	180.30	244.08	114.27	90.69	47.67	55.28	228.31	227.41
hsa-miR-10b-5p	3747.00	hsa-mir-10b	3747.00	83.00	30.00	37.00	46.00	65.00	33.00	50.00	57.00	26.00	81.00	97.00	43.00	104.00	68.00	33.00	54.00	87.00	90.00	33.00	54.00	61.00	56.00	117.00	57.00	54.00	17.00	51.00	68.00	55.00	44.00	54.00	33.00	41.00	62.00	47.00	21.00	34.00	56.00	34.00	53.00	40.00	41.00	125.00	104.00	156.00	84.00	76.00	205.00	185.00	131.00	138.00	276.00	6.42	2.13	2.76	3.33	4.47	2.25	3.29	4.54	1.87	5.56	7.71	3.19	3.90	5.12	2.25	3.91	6.36	7.39	2.42	4.19	4.80	4.46	9.19	4.58	4.08	1.50	5.45	5.46	4.69	4.27	4.90	2.87	3.54	5.81	3.89	1.87	2.98	4.67	2.88	4.18	2.83	2.84	9.45	7.51	11.91	7.02	5.63	14.93	14.51	8.90	10.64	23.15
hsa-miR-1178-5p	0.00	hsa-mir-1178	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	21.00	hsa-mir-1179	21.00	0	0	0	0	1.00	3.00	0	1.00	0	2.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	0	0	0	1.00	0	0	1.00	0	0	0	0	0	1.00	1.00	1.00	0	0	2.00	0	0	0	3.00	0	0	0	0	0.07	0.20	0	0.08	0	0.14	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0.09	0	0	0.09	0	0	0	0	0	0.08	0.07	0.08	0	0	0.15	0	0	0	0.25
hsa-miR-1180-5p	3.00	hsa-mir-1180	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0.08	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1181	0.00	hsa-mir-1181	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-5p	0.00	hsa-mir-1185-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-5p	0.00	hsa-mir-1185-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1193	1.00	hsa-mir-1193	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-5p	0.00	hsa-mir-1199	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1200	0.00	hsa-mir-1200	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1202	0.00	hsa-mir-1202	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1203	0.00	hsa-mir-1203	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1204	0.00	hsa-mir-1204	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1205	0.00	hsa-mir-1205	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
