Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	Dim.6	Dim.7	Dim.8	Dim.9	Dim.10
V12	0.114117334230083	0.100749353185188	-0.00720220094835353	-0.0308618720494952	0.442178281065257	0.257616785644105	0.0549553974376489	0.0172758528135432	-0.185739075695468	-0.322690137597944
V13	0.552946644979682	-0.0107229767674109	0.129986013924357	-0.290072335994155	0.0935187972270758	0.0077972637733273	-0.177080277126579	0.212247086600265	-0.217442442052088	0.292600712188387
V14	0.36864798369327	-0.0147393133860339	0.284372126460724	0.0242406103919384	0.258806156133365	0.13986461183941	0.270030673744678	-0.0848528112813226	-0.0210702236587555	0.0973342212694335
V15	0.809247371349707	0.0550654944545747	-0.236623326580576	-0.220663488440423	0.0462727443536446	-0.203660980994858	-0.188365286440408	0.16453811384023	0.0734612159841427	0.00384593271253079
V16	0.869330544117063	-0.051478473468117	-0.0582483819401632	-0.177248143781854	0.00873149463775205	-0.0800557791258654	-0.211238590868616	0.120297816993246	-0.0722824953858285	0.0374523808855636
V17	0.427569758668221	-0.448355063555125	0.279382146333852	0.125717022764555	-0.0281848571570957	-0.0619342986152129	-0.118786627508578	-0.308825847901821	0.224553875060041	-0.00909148060215161
V18	0.27898645438466	-0.626469373426178	0.180025213105257	-0.181375518963823	-0.239241925789112	0.130751108920831	0.0212358092957272	-0.0348568122528957	0.104451677905877	0.0981092687311584
V19	0.628119003840002	0.383659228451806	0.252782799771637	0.0840703454013609	-0.310388162975522	-0.183953121441915	0.0434359846185205	0.0809030382834903	-0.0637095458535768	-0.153028635998891
V20	0.628119003840003	0.383659228451804	0.252782799771637	0.0840703454013613	-0.310388162975521	-0.183953121441913	0.0434359846185199	0.0809030382834898	-0.0637095458535767	-0.153028635998891
V21	0.27219901641217	0.137452725705128	-0.0311086054957086	0.17944242446533	-0.0676872939727077	0.282636684815681	0.22651378726154	-0.161998265874174	0.0489781854296322	-0.124627371689591
V22	0.621528424133852	0.140692604572985	0.0733083010059653	-0.17505236098696	0.0554690096607999	0.151968582284359	-0.189268124957597	-0.208514538141385	0.199781990653098	-0.0133842110679609
V23	0.621528424133851	0.140692604572985	0.0733083010059656	-0.17505236098696	0.0554690096607999	0.15196858228436	-0.189268124957598	-0.208514538141384	0.199781990653098	-0.0133842110679613
V24	0.280775515746124	0.096602148139769	0.134412733599657	0.346607616507123	0.121066396356197	-0.0145660250536316	0.0795429054194129	-0.247593175098681	0.0810518677854376	0.214106485011022
V25	0.457746596745247	0.136733332095078	0.235944905441742	-0.115439136433094	0.380635118488022	-0.375724745761288	-0.129686258567264	-0.140959028511169	0.00860115635507562	-0.0248056392379258
V26	0.247533939659607	0.14373125582199	0.0733902918620144	0.048174894356257	0.436301202888927	0.225348727281644	0.0428913077151714	-0.0114224969090027	-0.135526370049803	-0.367196345783486
V27	0.248360387397319	0.144442746066125	0.0763669662144931	0.0463832515878138	0.436200853389688	0.225063001239002	0.0442118353925127	-0.01126331546386	-0.139584447028999	-0.363491419377039
V28	0.651084250700556	-0.196806134283356	-0.121396728785313	-0.290688806618573	0.220528867454243	-0.444013599907373	-0.027351658355898	0.0428284417883628	0.0250386005249084	0.0939822278605807
V29	0.464136100862649	0.493520226792308	0.343772721265495	0.0472419746877996	-0.0848613049402745	-0.145097394205616	0.15632588663954	0.264454537658784	-0.0797121396870918	-0.219907628110322
V30	0.466238273634099	0.484558296775791	0.348238134369622	0.0710871721488993	-0.0818240824825831	-0.147763957944605	0.147153864988713	0.269105483291488	-0.0650701011502957	-0.230547383096527
V31	0.481800416373646	0.238946900822482	-0.179149377940366	0.0541095019529399	-0.0463077433171615	0.0175145891860767	0.0432364849821367	-0.085014692987382	0.225181201311497	0.11916858085251
V32	0.166609159211281	-0.015195331461273	0.239072819368965	-0.207712028324672	-0.158609156073915	-0.0755134757849778	-0.181158632277206	0.0676518514939267	-0.240702371046777	0.069684554229574
V33	0.259274779397676	-0.224076738675081	-0.350875502513354	-0.0458010606416348	-0.179151528514632	0.173036500990293	0.0235111534459857	0.127624322748428	0.103438170116734	0.165421414870206
V34	-0.0328730952933966	-0.237070330717667	0.280983245164043	0.0130669580918062	-0.171789815058875	0.137284247148925	0.27830439724988	-0.137175672555961	-0.0141800149218385	-0.0217489978065473
V35	0.305482187987068	0.596135466554424	0.384343184782353	0.200958272046262	-0.0540364359331111	-0.0397956061118153	0.0838026093565903	-0.165152070479736	0.128604612823972	0.147363688266859
V36	0.421039648923795	0.227590379730014	-0.150595015626682	-0.0142518469940722	-0.0528934157711804	-0.0334865503619263	-0.0710930460886418	-0.201443332030904	0.284724343647551	-0.00293656846746139
V37	0.268804360631448	0.216767759370816	0.170606475977172	-0.0350821867534305	-0.161217838138512	-0.0666175729377666	0.121291107629975	0.150810361883293	0.280548527807508	0.0449355147162811
V38	0.214720856308214	-0.0668432639286019	0.474364770883449	0.101840093500812	-0.161653373009978	-0.163317431553794	0.0742313608398781	-0.0754995087427001	-0.123078888364795	-0.0977065485604092
V39	0.398843647769113	0.358311904364461	-0.0696997997093116	-0.104283687894364	0.0165430328547537	-0.196523632149797	0.198096735107893	-0.11028267044521	0.199149866075541	0.0907551081103263
V40	0.513329087462731	0.602837496688295	0.190315824617341	0.0226750885522973	0.176336583054956	-0.0793281691260128	0.168131393059478	0.148777649793412	0.063636282229178	-0.0524976955497405
V41	0.640176120918366	0.357554288901982	0.325558952560795	0.282883670030013	-0.131768290014968	-0.190910288359668	0.0268444025680985	-0.129555092176299	-0.171844198966186	0.151695983852122
V42	0.357467369249084	0.0316527891073412	-0.135377849188571	-0.111687668298769	-0.0305483905269612	-0.147558766451312	-0.140511495466835	0.218896154961341	-0.00186637686847251	-0.0580115212984775
V43	0.141523504413046	-0.154807895902439	0.318851037354927	-0.0545695538277907	0.0621491748935823	-0.0605614272926285	0.240127471723957	-0.0580008044103896	0.472509214984115	-0.196430436272525
V44	0.520729745660714	-0.339914579641917	0.0631358953383913	-0.378766941711673	-0.156265565180879	-0.11652031017784	0.00192043641289994	0.332761116958026	0.0261316652088458	-0.00143127701456219
V45	0.564701150546138	0.334281767807215	0.503050926873985	-0.0893099089189231	0.0900039468552417	-0.0163524048465325	-0.318383362357529	-0.0150688698252179	-0.133257689687694	-0.143421090213237
V46	0.753550537563393	0.0535462261453314	-0.195243421154631	-0.0376009030608629	-0.00639422926832087	-0.340937029488603	-0.0463643148368561	-0.0741169513755561	-0.280425153765615	0.019018886765054
V47	0.366329685424713	-0.528248280374779	0.0878867012021045	0.0899716176977455	0.100617173009874	0.302834517887564	-0.197206192164374	0.0370757734660938	0.0650869693975048	-0.12131924250251
V48	0.366961924243342	-0.324919092732894	-0.0532375006826903	0.313616819705832	-0.0582041228598611	0.0979704764523096	0.120585635319343	-0.329761500803886	0.0400854753247451	0.412890614169167
V49	0.804820952316524	-0.21630720374489	-0.0635380082206866	-0.19848171067989	-0.0163103677142176	-0.0864511823751264	-0.155753395144747	0.0333129385831057	0.119192777675743	-0.0346480647121908
V50	0.542961290872669	-0.608125790773033	-0.133851640133775	0.0246766433334172	-0.149076778991241	-0.0609771552122057	0.14671407823926	-0.125685766931914	-0.0775187780617503	0.218371638320697
V51	0.473135683137799	-0.567685234727002	0.00240003945979601	0.143400241600609	-0.0110177398978803	0.44291620795381	-0.0198950414343159	0.0574842856785234	0.00242172264566195	0.120098372421312
V52	0.701985485346541	-0.435120600680607	0.200655616446883	0.0752441726668125	-0.102970730289231	-0.0385174851427044	0.0950403256692645	-0.164810920641294	-0.201732728783833	0.224482942230951
V53	0.488307247577646	0.360355508236112	0.193671349859652	0.188551559368391	-0.0796726110443608	-0.288491368313269	0.0711355736542432	-0.222666929302411	-0.0355876389309567	0.103504658477516
V54	0.795983526905088	-0.0249456426195829	0.302126687549167	-0.105498058107259	0.0878063223529638	-0.0942283256645399	-0.00974706084278155	0.0456536190146761	-0.032146734169009	0.125952978607862
V55	0.795983526905088	-0.0249456426195829	0.302126687549167	-0.105498058107259	0.0878063223529638	-0.0942283256645399	-0.00974706084278155	0.0456536190146761	-0.032146734169009	0.125952978607862
V56	0.746185264822405	0.171586919788999	-0.0888630397710823	0.117287938394888	-0.0239301341146714	0.00650018675224187	0.0499509548093807	-0.243189094036162	0.18656760864887	0.0814999387927187
V57	0.838586919624471	-0.0453109180822693	-0.212445442606589	0.0611796489294468	-0.0196909275469854	-0.31389097605519	-0.0178200698603694	0.0113676456962508	-0.0239202957747167	0.160497805588321
V58	0.784021224278233	-0.289344181912185	-0.0058097738918804	-0.131635568812471	0.0620873587688825	-0.241916980998109	0.200101871746209	0.131349889915921	-0.0416793925195977	0.120296816525849
V59	0.824997750835556	-0.190961508361756	-0.170998199275518	-0.0925255828978514	0.154395230754695	-0.374606969915934	0.0859085050046053	0.056775554766102	0.0173790130966472	0.0133478486292133
V60	0.823693146152735	-0.189529370328497	-0.171709444491335	-0.0928578163445534	0.152458687356154	-0.37926265171491	0.0844423233009764	0.0594568712201428	0.0170948406829499	0.0140791503338111
V61	0.837396834090334	-0.0436116615014598	-0.202406261302455	-0.274239079819981	0.117846921635438	-0.19322271584423	-0.0590738488447191	0.217172336028779	-0.00134348759308399	0.0608784895199744
V62	0.650876376270319	0.259436579339065	-0.448739700863979	-0.10706653029029	0.115417514173307	0.224296865864061	-0.225072206497796	0.176138713144008	0.0437234000976346	0.0364667726731536
V63	0.631925652379516	0.102361852384143	-0.4005746468073	0.135966601167454	-0.215690752910496	0.347348425237965	-0.136684379451136	0.0358387316890219	0.00442557337099658	0.137046168833433
V64	0.629837430209263	0.106313254667476	-0.402475866084414	0.137018248480679	-0.220897038780954	0.348725887925169	-0.135723909520908	0.036362806565142	0.00707164545348866	0.139024572469516
V65	0.744349085155961	-0.161140163501857	-0.0935061761683695	-0.114033368240232	0.104943821892203	0.219038004947944	-0.363924572410249	0.0197876490271243	0.15595680946301	0.0258965890877688
V66	0.510251767567173	-0.14675414455211	-0.193670650799844	0.00472170393399932	-0.346463177320878	0.231852156187387	-0.235067950484535	0.0649164919605911	0.143258307343492	0.0487341757562769
V67	0.465462359442012	-0.280918893631604	0.00561725096750604	-0.184355242167364	-0.243063678058378	-0.0333244324376982	0.196181944107207	-0.199474384698029	0.111958117178246	0.0158472930427569
V68	0.462271465187392	-0.250998433349965	-0.0969514680997889	-0.577697861983502	0.188720374031093	-0.245147530207521	0.0703403701190051	0.0545152561239939	0.1865690550528	0.0185674896732634
V69	0.78887659754518	0.359811129156037	0.224822023644942	-0.0435810573780981	-0.189675494464602	0.2174592945414	-0.0322954077375505	0.0626786714147435	-0.0309673261789227	-0.0695558155778298
V70	0.587897426310672	-0.520334617813713	0.353016618533349	-0.243243878658459	0.290108634363806	0.108272773549119	-0.0645745920666252	-0.173348925561087	0.0439626829999752	0.100107112368539
V71	0.515742551216122	-0.260288321134379	-0.00337425413937136	0.106670716090166	0.0755306076082711	-0.141780142695742	-0.153977106063964	0.272597734141515	-0.0232593687474425	-0.0820007602536389
V72	0.705887024940222	0.0362859570321371	-0.0834009150846668	-0.326587557191301	0.254241470093418	-0.174901549824957	-0.147965949480365	0.213470927864308	0.058743903224301	0.206598712552053
V73	0.440351180503357	0.0277820332066307	-0.0993250309745885	-0.214850908100679	0.0660817857137838	-0.139059478378506	-0.104845843211598	0.0881362595171526	0.0167023014960038	0.381909933727722
V74	0.23693974267318	0.309145878941139	0.0620082126268831	0.0860368613857056	0.120206027280386	0.131153736581953	-0.0124489952787118	0.0461855016665986	0.0697730071943914	-0.125479879479245
V75	0.694453511754346	0.197890560426004	-0.154004267693605	-0.222269677456287	-0.121481818640207	-0.300916997919674	-0.0800656163900189	-0.0202292344418675	-0.301327431694946	-0.00992989523763597
V76	0.450862291620573	0.0122649910358806	-0.143602244199933	-0.0203584095534615	0.0695919429400506	-0.214002801683082	-0.110570864886912	0.130086094166832	0.0472628301711045	0.050075935179422
V77	0.444472059999273	-0.196670418869053	0.016483685345866	-0.44840144319209	0.408452984407547	0.194335993431776	0.150269280483041	0.0376439780413023	0.165870872063989	0.033753235998773
V78	0.613618614391724	-0.345821508187335	0.317033327851656	-0.045332683075455	-0.0396515111640557	0.148350772161765	0.00638636098813832	-0.0355717158007255	-0.155815753275374	0.0448761461511722
V79	0.644872124987041	0.281436853297377	0.0235735623031446	-0.0300845025890837	0.235417896048476	0.327795493303019	-0.092676620040744	-0.0404067513043749	-0.222893162719136	-0.00309382004777544
V80	0.589664791844815	-0.499477437521077	0.323724604702453	-0.18751836947996	0.0597820071845155	-0.268351674583422	0.00775337243022549	0.0799802660393476	-0.0869646528794009	0.0406363886505157
V81	0.592247107390657	-0.5053447335901	0.314171413088514	-0.186222260352476	0.0308870877523793	-0.26423911229531	-0.00688083079059297	0.0705789173168855	-0.0874823667727011	0.0368609849948087
V82	0.663800160873747	0.0130042468807319	-0.236881310877845	-0.227281426305879	0.0257975323670726	-0.313221243907533	-0.0279293831665813	0.0986644787124053	0.132060382535202	0.148112227532107
V83	0.290865833259919	0.567324301957888	0.143411515177057	0.160647603137285	0.0909521728160293	-0.126503221448156	-0.0188298569413982	-0.185258980627867	0.162233565224689	0.122871317114197
V84	0.487889548260796	-0.366358317763162	0.579345108594439	-0.00571936451448259	-0.126832769429539	-0.0484965093072853	-0.0553284237134496	0.0138218918378201	-0.0470712275490735	-0.203966902315559
V85	0.487889548260796	-0.366358317763162	0.579345108594439	-0.00571936451448259	-0.126832769429539	-0.0484965093072853	-0.0553284237134496	0.0138218918378201	-0.0470712275490735	-0.203966902315559
V86	0.286919241773783	-0.777036409210874	0.217763123400415	0.0183923087227189	0.0038011643553595	0.231149158604473	-0.0659902154191392	0.0154846180170913	-0.028489161451832	0.108066308884499
V87	0.344331130644093	-0.220618582250866	0.113508191186111	0.0458436111408089	-0.181233971375115	-0.186181710849775	-0.123760096585557	0.35123722646929	-0.202021872644099	-0.253701013346619
V88	0.814770067996499	-0.097111358608731	-0.221558437681454	-0.0947876807774099	0.111277915726094	-0.263165571455018	-0.0729991036476805	0.135014999901646	-0.0924279115889346	0.0193166342805803
V89	0.731245212508521	-0.148774773386191	-0.179356116430739	-0.348392640911518	0.125564019253169	-0.224642873651024	-0.0724245369930887	0.221791980737508	0.0277097028583328	-0.0520023718605713
V90	0.679285843432195	-0.56717465208763	-0.191376693170673	-0.0643264578367805	-0.104703486425697	-0.0746174022384743	-0.0017563815084649	0.0298133163167058	-0.0898243792566076	0.233284602501789
V91	0.480843540226072	0.541675615689389	0.31259835795031	0.236409230663742	-0.188912389076454	-0.207193614278813	0.0764807758369615	0.186106732544386	0.144302785515003	-0.0509353982964509
V92	0.377733826168502	0.122928540226794	0.0886768662039413	-0.193955466612803	-0.00500969526119518	0.0236381068419499	0.137953124033479	0.0434430757988012	-0.0255480079658956	0.1354703213585
V93	0.537402182940353	0.575436809096189	0.0846146830682914	0.0156479343260607	0.239131303687109	0.0592049930370846	-0.113376791316948	0.0624864774518581	-0.0937433819857392	-0.0139403059407553
V94	0.504285520932552	-0.350089289766586	0.374053285643072	0.00635123531638996	-0.137130268105612	0.00287850307919735	0.135200728487929	-0.0687483590084118	-0.156752079244183	-0.0284747536041316
V95	0.701688337770786	0.244287801146101	0.289072567816576	-0.0492241434562067	0.00940458886544659	0.0343803678914725	-0.0376291908489593	-0.0690848636104758	0.0638080993845334	0.250571325348533
V96	0.41309830927807	-0.277054446767442	0.0679136883281371	0.00190936165621395	-0.246604581599277	0.0735579036482952	0.129266272891127	-0.137110416119489	0.158932505477615	0.197489297111855
V97	-0.0554903940857783	0.173574699155988	0.00270650543620322	-0.170626989405539	0.211162284889196	0.139504472977692	-0.199324365863206	0.186581094913414	0.296337093839381	0.290461151895667
V98	0.370310836216598	-0.28306661450856	0.322239505745263	-0.00266025157933461	-0.353160732576243	-0.0126978520189567	-0.11748217647324	0.113746363874005	-0.218705535053355	0.035138865604505
V99	0.125577262859938	-0.575010808144168	0.194305735558456	-0.0142279844953752	-0.00383218856356749	0.105471194465023	-0.0573474199666837	0.286218700358081	-0.105311841535016	0.131500602323289
V100	0.627696649193424	-0.356121969786674	0.13747788985027	0.00999309391480265	-0.0694834480728225	0.0240487974663758	-0.209451930691846	0.100257193490222	-0.132594459496727	-0.0226654889437568
V101	0.627419530625144	0.370896381702144	0.2146671133588	0.0853177020454768	-0.230958904180539	-0.049294785379917	-0.195393224913005	-0.0923663916635063	-0.0231533514165834	-0.140112101963218
V102	0.646208467268369	-0.584775839993083	0.163073842481764	-0.0141433383951053	-0.0205577300349156	-0.208774689834171	0.100049667382065	0.100779233348581	-0.00948436065584239	0.118204070249887
V103	0.649270392930481	-0.582547957239106	0.158244892452751	-0.0121136064499023	-0.0168422212929842	-0.208464999481914	0.102923407009782	0.105375844295075	-0.00785509201939032	0.118453167244902
V104	0.804954757163398	-0.278506525820543	-0.221069356235507	0.0178826982228335	0.0228015355067191	-0.260908218323446	0.134122357929501	-0.0316308937222917	0.0405502746776895	0.154994226870716
V105	0.324987969166019	-0.0510366741731089	-0.314796000896922	-0.00333502940931247	-0.354088540131139	-0.165973198454708	-0.106368876361373	0.0852571856035617	0.132304838259598	-0.295798417538231
V106	0.733497327881601	-0.115697519406013	0.216665747956938	0.114372935801319	0.000489787761410738	-0.0563809759889173	-0.0825304003010561	-0.057308836241237	0.381555244165077	0.124033225965146
V107	0.474919847734217	0.416545675401507	0.162800410245823	-0.350820024567218	0.157207698370303	-0.15166555329042	0.206450446069767	-0.059427637075866	0.0443538060277781	-0.0812792616300548
V108	0.568109359007095	0.320523346283415	-0.190742205082407	-0.0932775065060715	0.117780964387016	0.124931879211214	-0.0309692873193152	-0.0370532545482858	0.164411187710664	0.176170769726231
V109	0.522167980495404	-0.424099861371362	0.345105218204787	-0.0645258810306892	0.223622227943633	0.25604144152355	0.0202006022800576	-0.072245509258928	0.296377122458134	0.122862166409807
V110	0.597633958969236	0.232191092288749	0.389538036050166	0.205856248294331	-0.208313923782365	0.0884266637310958	0.122100407484465	-0.207976189690293	0.0501771517988451	-0.00828380906887974
V111	0.119057263469108	-0.55009892968528	0.160059602981277	-0.0291330720088567	-0.245003055722553	0.0681872311890465	0.322432296978932	0.209108138489788	0.0397875450470204	0.00574580577592598
V112	0.670812880027471	-0.157224660700308	0.544817621708633	0.0844800858295124	0.132790692846155	0.173237488877195	0.0865159563672752	-0.0498513319979449	0.00760856776794594	0.0879354666346125
V113	0.620799695639656	0.135274448502162	0.556685969201303	0.120619290552576	0.102354490170319	0.0889579974426907	0.170188990425582	-0.0780231710604159	0.0944217673021282	0.146627539397957
V114	0.620799695639656	0.135274448502162	0.556685969201303	0.120619290552576	0.102354490170319	0.0889579974426907	0.170188990425582	-0.0780231710604159	0.0944217673021282	0.146627539397957
V115	0.760417832518525	-0.355803744447872	0.286329041650714	0.0118030178495613	0.0302559732852398	-0.0786745505033934	0.0800580120347978	0.0260949610289602	0.0255387485925559	0.0364392547810583
V116	0.788955497800158	-0.405344253266172	0.102960022037376	-0.0304020773334239	-0.130377289120768	-0.157399892323494	-0.0842539517921152	0.0602226071748847	-0.185473628595713	0.147938561508593
V117	0.242748090878851	0.1075005842842	-0.085975091869031	-0.0250772717711463	-0.0572986724348839	-0.334767808652702	0.139786184207368	-0.333763245337526	-0.280401906742627	-0.0519212186468805
V118	0.116885051907303	0.268428622825704	-0.0437118165124038	-0.314732891713723	-0.102385440849007	0.225048348197043	-0.273406609659327	-0.0816284568464697	-0.132616711304382	0.133776765785548
V119	0.0512083683103086	-0.289409328428043	0.147297577136925	0.415698835490786	-0.182688721826667	0.179715319466412	0.119400948194566	-0.162027005276629	0.0645187872601653	0.081226432865269
V120	0.329155915985537	0.00973464697459243	0.115884169265637	-0.050453254899002	-0.0123025853070793	-0.0498303894993285	0.195345037373736	0.134911169164973	-0.523831062913028	0.0341534397042511
V121	0.320551502075481	-0.0128432058062347	0.115713199904957	-0.0408444898905551	-0.000413355134197639	-0.0663422364267994	0.18139912788163	0.087991703829288	-0.533292505182506	0.048643997582048
V122	0.241311968873813	0.144279138459057	-0.00947164669254683	0.0647932615105919	0.149629225326492	0.392820362452044	-0.0193120390672782	-0.238380571551852	-0.0347743156782939	0.0782481841789277
V123	0.40293749800172	-0.168744426409523	0.367419607623744	-0.0607672975802495	-0.362619239272438	-0.25309648293503	0.0910119882433891	0.0371364524339778	-0.00424203840764449	0.0274052835744263
V124	0.109715440921951	0.194444468518104	0.157010763824457	0.366884556972886	0.173413063136319	-0.441031780588066	-0.00918148104685123	-0.0712515510638002	-0.045939949593178	-0.111722363192635
V125	0.25527773770971	0.0301686955230264	0.0896760908265026	0.115299684335608	0.156187185883255	-0.0472466258355664	-0.13922625967702	0.323955171923242	0.221504109843056	0.0385513891473599
V126	0.210565007039655	0.0111043578708798	0.0629598376298947	0.0760848197234911	0.116453084021693	-0.0203694328825788	-0.128741304904137	0.351005487958399	0.23139162996841	0.00742843809909571
V127	0.294063760863934	0.015901861957875	-0.0319039734148259	0.0444410455638795	-0.193148548363161	-0.161851609544007	0.342972067356989	0.0790477626320445	-0.0200243709787337	-0.140222001930641
V128	0.463324976900105	0.569800588667299	0.305332874098213	0.171179923790041	-0.0291115708793372	-0.0740289367586683	0.111412869586297	-0.199187615683796	-0.0729140268594131	0.062498319727446
V129	0.48165171513226	-0.482811277052362	-0.138120329784364	-0.130471046688913	-0.187105893587114	-0.260082541445313	-0.0657694584663157	-0.0228201313105325	-0.131133510986724	0.0662751328972696
V130	0.626908329463645	0.442758921867539	0.22866133620823	0.134544110247718	0.0652054362881516	0.0255021317918084	-0.129822902624691	-0.0979803579866697	-0.00664211074257569	0.0950108941292935
V131	0.274260635832909	0.263616254908717	0.237122877272732	0.184881532828933	-0.0714231601135423	0.165789007462763	0.147678073263263	0.196436828169812	-0.243293872194708	0.196890546450686
V132	0.618100700489763	0.499116262692781	-0.143420402989892	-0.00249530946377276	-0.122767770440329	0.278106034803616	-0.252537602723051	-0.145966569769502	0.128097846018987	-0.0509936104572905
V133	0.60468231468568	0.429418042440165	0.000611232406715869	0.0623017779498003	-0.165908656248356	0.217680525189352	-0.064246423862388	-0.166236861823493	0.108103827566015	-0.0111557736635268
V134	0.639218572391104	-0.187594319807388	0.138205678794691	0.0519223881114199	-0.173446617699168	0.447955810558715	0.163590516874994	0.00771192566255972	0.255264483383802	0.0294972444238189
V135	0.439894313649008	-0.318996278245777	0.217587348930901	0.184055518249717	-0.0908061110020543	0.354858920355267	0.0670960747292399	-0.17380273317779	0.298460037272662	0.211538165763146
V136	0.556898450950849	-0.0888234504749635	0.0162503294720244	-0.0927393805428653	0.214449623028841	-0.0801368825049608	-0.171935613610237	0.0436575474949533	0.189666278859536	0.234585485943768
V137	0.517283134945884	-0.153659747742712	0.443765270692652	0.0458416946595554	0.0480497713189967	-0.0187106929488028	-0.109843361938689	-0.342171837970221	-0.311279175821249	-0.090139970106595
V138	0.534524941335997	0.118821941258225	0.425304636261303	0.107269283612117	0.124053850416307	0.292994469118482	-0.0300258868907531	0.107996582877368	-0.323611905206608	-0.0847999840615711
V139	0.5093605975814	0.238747276827663	0.122922087875635	0.0174887265069001	-0.0964220751894198	0.082321886253409	-0.344370936205981	0.209706922585582	-0.266008322239544	-0.0467452973232577
V140	0.773427530113202	-0.31465790343127	-0.17032530256626	0.0647243229523325	-0.118717183887501	0.157308383741977	-0.192677097967423	0.102822574567502	-0.102232358386834	0.223606542297844
V141	0.597120761677635	0.601880984054391	0.0424717575040758	0.0197688650718477	-0.115354118446977	-0.166916195601735	-0.0422611993168413	-0.0916718041281647	0.0578935233271274	0.197754154254993
V142	0.794105786552621	-0.325098314065717	0.0239758624570078	0.176497434463962	-0.108592958680182	0.0443758686298156	0.055138538832003	0.0405281618671811	-0.140138611080048	0.054399348786666
V143	0.37180304163871	0.0216015130482987	0.219960415823953	0.192397833674046	0.209599162538844	-0.0661126217709441	-0.0276480620643095	-0.172233556780677	0.448830485397641	0.0130141259318699
V144	0.618549406060338	-0.434658361018688	0.280604625292174	0.0415219946731755	0.199506710222121	-0.0934790294797937	0.229014544957376	-0.148402948204244	0.00541856913904212	0.138424383642888
V145	0.49385145553763	0.00487985550849336	-0.204062638757102	-0.243591281028879	-0.109753239972737	-0.251977109852055	-0.11684141985841	-0.116096835297689	-0.332319962353028	-0.201236529329883
V146	0.309017706044049	-0.395943579008561	-0.183838576664277	-0.102518944846851	-0.0758739404634786	0.433180093773801	-0.267627090673733	0.169673580396776	0.0411647296953387	-0.0589915699500758
V147	0.541776198508409	-0.192237929621115	0.125403399642151	-0.308748239369044	0.235503120849114	0.284847489423173	-0.103777615091103	0.155224063419754	0.300618070421811	0.049840389788435
V148	0.270193597328483	0.324043554111715	0.170119037901287	-0.145403050074288	-0.00319624570860192	-0.149576996538253	0.0119613364158277	-0.137405541038318	0.108763845884523	0.0793525808456656
V149	0.275666888001	-0.253957580898093	0.252215140805939	-0.134027954432356	0.167081723142528	0.0449840315238932	-0.231087851970179	-0.279184352360775	-0.25912905516918	0.306693981319283
V150	0.275666888001	-0.253957580898093	0.252215140805939	-0.134027954432356	0.167081723142528	0.0449840315238932	-0.231087851970179	-0.279184352360775	-0.25912905516918	0.306693981319283
V151	0.348304334965414	0.049472531130576	-0.253026458165907	0.0614717056921732	-0.217928801552821	0.165763251900396	-0.0917158614204613	-0.168713145125591	0.0397730239149183	0.0953814139580149
V152	0.3604445416656	-0.271342069348645	-0.159180259090013	0.291209436349406	0.191530572544191	-0.0453996999480524	0.00435325372188947	0.251532586736215	0.20464844100856	-0.166683786367553
