aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb
hsa-miR-101-5p	3	1	0	1	4	3	5	3	3	1	1	4	2	7	0	6	3	2	7	1	0	7	1	2	3	0	0	2	0	3	2	1	0	6	1	1	3	1	1	1	0	0	0	2	3	6	0	2	0	2	3	1
hsa-miR-103a-2-5p	2	2	0	0	3	3	1	5	3	1	1	2	6	0	2	2	2	1	6	0	5	3	4	3	1	0	1	0	0	1	2	2	3	3	2	0	3	3	2	4	0	0	3	0	12	0	3	0	3	4	4	3
hsa-miR-106a-5p	19	10	18	21	12	18	21	11	11	9	17	20	26	14	0	39	11	17	23	14	5	22	27	9	10	11	17	17	6	17	13	14	12	17	26	3	21	6	11	7	8	3	0	14	8	20	7	87	7	27	2	13
hsa-miR-106b-5p	177	110	107	158	107	144	178	125	162	72	162	168	239	164	6	245	151	175	269	81	77	167	118	118	129	100	125	121	82	168	114	96	126	191	131	36	179	103	45	52	53	22	39	208	115	212	109	521	58	248	116	158
hsa-miR-10a-5p	765	442	1071	1436	1781	970	823	438	1013	1759	1394	1480	1781	680	283	333	1516	584	607	984	789	800	1034	1862	1434	303	1364	1405	758	959	1094	506	937	966	1442	401	649	854	672	1105	724	288	942	1587	2361	2922	1543	1245	608	814	2960	2711
hsa-miR-10b-5p	83	30	37	46	65	33	50	57	26	81	97	43	104	68	33	54	87	90	33	54	61	56	117	57	54	17	51	68	55	44	54	33	41	62	47	21	34	56	34	53	40	41	125	104	156	84	76	205	185	131	138	276
hsa-miR-1254	17	15	12	10	12	11	18	11	31	12	38	21	45	27	4	18	31	26	36	25	14	22	31	23	26	15	34	19	26	12	17	29	21	20	18	5	19	15	11	12	9	9	12	7	15	12	20	12	14	16	19	14
hsa-miR-1254	17	15	12	10	12	11	18	11	31	12	38	21	45	27	4	18	31	26	36	25	14	22	31	23	26	15	34	19	26	12	17	29	21	20	18	5	19	15	11	12	9	9	12	7	15	12	20	12	14	16	19	14
hsa-miR-1255a	2	2	0	0	2	1	0	2	4	2	2	2	3	2	0	0	0	2	0	1	0	4	3	2	2	2	4	0	2	0	0	5	3	1	0	0	4	2	2	0	3	0	5	2	10	0	2	4	0	2	0	1
hsa-miR-1255b-5p	5	2	7	8	8	6	4	7	11	8	11	7	14	12	4	5	7	4	8	3	3	11	5	1	6	4	8	3	9	8	5	7	6	9	11	3	5	4	3	5	4	3	2	5	21	7	8	14	1	8	7	3
hsa-miR-1255b-5p	5	2	7	8	8	6	4	7	11	8	11	7	14	12	4	5	7	4	8	3	3	11	5	1	6	4	8	3	9	8	5	7	6	9	11	3	5	4	3	5	4	3	2	5	21	7	8	14	1	8	7	3
hsa-miR-1256	0	1	0	0	0	1	1	1	1	0	0	2	3	0	0	1	2	0	0	2	0	0	0	2	1	3	1	1	1	2	0	1	1	2	0	1	1	1	1	0	2	0	0	0	3	2	0	0	1	1	2	2
hsa-miR-125a-5p	465	201	583	419	416	445	370	211	436	414	227	331	688	275	69	196	397	133	285	336	236	528	286	391	508	173	198	364	303	433	440	308	355	347	318	196	212	332	240	506	240	60	113	158	159	585	520	226	278	485	336	323
hsa-miR-125b-5p	107	120	148	122	39	22	142	82	74	26	25	33	102	93	5	63	32	34	27	208	32	160	61	67	128	76	17	20	28	23	78	83	182	22	20	33	18	95	27	133	83	6	79	80	382	48	165	29	12	217	10	51
hsa-miR-125b-5p	107	120	148	122	39	22	142	82	74	26	25	33	102	92	5	63	32	35	27	209	32	160	61	67	128	76	17	20	28	23	78	82	183	22	19	33	18	95	27	133	84	6	79	80	381	48	164	29	12	217	10	51
hsa-miR-126-5p	417	232	340	419	270	659	521	285	272	285	191	565	706	514	60	448	140	340	369	332	227	389	682	141	186	92	157	146	100	422	234	157	184	234	349	93	482	267	174	147	109	35	53	92	85	234	91	935	256	630	454	1338
hsa-miR-1260a	126	195	172	111	56	140	159	239	213	154	401	102	347	231	40	238	276	119	442	253	429	444	319	191	237	325	279	305	220	94	202	496	331	241	129	144	166	155	151	164	216	66	28	92	149	251	157	191	173	242	44	219
hsa-miR-1260b	130	195	177	113	64	139	153	235	209	151	394	103	360	233	39	233	289	114	449	255	430	465	326	193	252	335	301	320	218	88	192	502	335	246	127	138	157	154	160	177	220	65	30	87	159	263	147	190	167	250	46	225
hsa-miR-1270	1	1	8	3	2	8	4	3	2	6	0	4	3	6	3	7	8	2	8	3	4	1	5	4	7	7	5	9	3	8	7	6	0	9	11	0	6	2	5	4	2	2	4	2	11	1	3	6	0	1	0	1
hsa-miR-1271-5p	2	1	1	1	2	0	2	1	2	2	0	0	2	2	1	0	0	2	2	0	2	2	2	0	0	1	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	2	1	3	1	2	0
hsa-miR-128-1-5p	3	6	5	4	4	4	5	2	4	3	1	0	0	2	1	6	6	6	5	3	1	3	3	1	2	1	6	7	4	6	5	2	4	4	3	1	2	3	3	4	4	4	9	1	8	4	2	10	5	5	7	9
hsa-miR-1284	0	0	0	0	1	0	1	2	0	2	0	0	2	3	2	1	0	2	1	1	3	3	2	2	2	0	2	1	0	0	1	0	1	0	1	0	0	2	0	0	1	0	2	2	5	0	1	0	3	1	2	4
hsa-miR-1285-5p	3	3	7	1	7	3	3	11	11	6	6	10	16	6	4	7	10	3	9	8	4	11	3	13	14	12	8	8	11	9	2	5	6	9	8	5	4	3	4	7	4	2	4	6	7	4	5	1	4	3	2	2
hsa-miR-1287-5p	4	5	2	2	4	4	0	3	1	7	1	5	5	4	0	1	1	2	4	1	1	7	1	5	2	3	6	4	0	17	2	3	3	4	6	1	6	0	3	3	3	2	3	1	3	0	13	8	2	1	0	2
hsa-miR-1292-5p	2	0	3	0	0	0	2	1	2	0	4	0	1	3	0	5	0	0	0	3	3	3	4	2	2	1	5	2	3	1	1	1	2	1	3	0	2	0	3	0	0	0	1	0	3	1	1	1	0	0	3	1
hsa-miR-1296-5p	1	3	4	3	4	1	0	6	2	3	2	2	10	2	0	1	6	7	6	4	6	7	7	7	9	2	2	3	2	1	6	1	8	2	4	4	2	2	1	2	3	0	1	6	2	12	7	0	8	4	3	12
hsa-miR-1304-5p	0	0	1	1	1	3	1	2	1	1	3	0	4	1	0	1	0	1	0	1	1	1	1	0	4	0	3	0	1	1	0	1	2	0	2	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0
hsa-miR-1306-5p	18	29	32	23	21	42	21	51	31	25	33	21	42	39	12	42	37	14	40	41	37	30	20	33	42	44	20	28	26	26	16	36	41	32	37	28	34	20	22	32	19	10	11	22	15	18	50	13	24	28	3	18
hsa-miR-130b-5p	147	138	163	94	163	180	174	119	237	267	144	236	392	206	47	149	313	213	337	189	304	228	171	292	301	255	288	294	243	215	124	165	237	281	189	175	195	217	162	159	106	39	59	181	223	283	208	72	131	224	100	141
hsa-miR-134-5p	2	1	3	8	5	4	2	1	1	0	1	0	2	1	0	4	0	4	8	4	3	3	7	3	7	5	0	5	3	1	1	1	1	3	2	1	2	4	2	6	0	1	0	0	5	13	2	7	0	0	0	2
hsa-miR-139-5p	2	1	4	6	6	4	2	9	3	1	5	2	4	3	3	2	7	0	1	3	3	3	4	7	6	4	3	5	6	2	4	2	3	3	1	1	1	1	2	2	3	1	5	1	6	1	6	6	6	6	3	19
hsa-miR-140-5p	3	1	1	3	3	5	2	3	2	0	6	1	1	4	0	6	2	5	3	1	3	6	4	3	2	1	2	0	1	2	1	1	1	2	2	1	2	1	1	1	0	0	1	4	0	6	5	12	3	6	5	14
hsa-miR-142-5p	23372	20588	21062	18560	9638	14070	22292	16968	22383	6241	37880	19796	55515	23495	1527	18141	25392	15013	28851	14808	20090	32478	11784	21670	14775	11419	17150	28959	15525	14742	23755	12787	12761	22713	8818	9500	19429	20307	5326	13561	10593	2028	2404	20173	28145	22796	21500	2326	6634	11729	5245	2859
hsa-miR-144-5p	524	178	446	747	239	1137	423	167	795	487	214	1026	753	439	21	542	284	1485	1231	449	226	382	522	567	314	241	281	348	181	628	510	260	524	739	290	86	1324	405	92	246	117	145	53	411	97	262	34	580	93	565	217	667
hsa-miR-145-5p	26	22	25	22	39	26	26	13	21	15	11	36	36	20	7	32	53	15	17	19	23	32	31	28	20	7	25	46	33	14	38	31	28	37	51	9	22	20	15	25	24	8	41	137	319	60	67	322	64	46	40	44
hsa-miR-1468-5p	18	14	31	28	37	48	23	13	34	63	16	40	39	26	24	28	39	43	37	18	36	17	27	43	37	29	27	48	47	36	21	14	26	35	38	25	25	38	49	31	17	20	84	40	91	71	39	34	27	68	49	60
hsa-miR-146a-5p	289	167	246	299	227	341	298	137	189	215	204	301	534	335	53	260	303	267	363	209	177	422	391	196	190	135	275	214	153	398	201	360	222	270	417	97	290	165	222	229	132	76	130	193	390	584	472	1138	227	209	382	624
hsa-miR-146b-5p	110	67	167	196	187	242	180	76	134	416	83	162	303	211	87	165	268	228	343	158	100	155	257	262	193	84	145	255	178	257	185	196	158	267	172	74	238	178	180	155	193	85	302	231	313	647	211	1068	189	338	761	1677
hsa-miR-148a-5p	49	59	70	76	73	71	69	47	86	71	46	51	91	86	27	83	108	73	80	51	74	60	46	75	76	49	56	107	52	57	55	75	69	81	50	20	57	72	72	75	45	43	220	164	664	174	140	256	86	143	248	145
hsa-miR-148b-5p	50	19	34	50	45	47	29	21	73	90	30	40	80	60	7	40	62	51	66	24	38	34	51	59	51	25	40	47	37	52	33	28	61	92	38	16	60	39	32	24	22	10	50	85	60	99	57	61	42	100	110	179
hsa-miR-150-5p	794	1065	1892	1443	383	1278	1260	1695	1711	2947	1226	2852	4526	2230	118	1409	3152	1227	3333	1892	1022	2311	1601	2753	3037	2216	1384	3193	2570	2807	1865	1703	3036	2232	1770	1435	2171	1624	1062	2161	1548	499	685	311	513	2373	373	282	373	408	1441	3349
hsa-miR-151a-5p	5605	2909	3317	3457	3826	5886	4563	2623	3370	3892	4762	3535	5667	4811	783	4911	4147	2676	4636	2971	3965	5717	4145	3660	3788	3498	4879	3717	3404	3403	2813	3826	3353	6080	3779	1579	3563	3360	3130	2547	2944	880	2497	5506	5372	5800	2818	3825	4001	6189	4722	7168
hsa-miR-151b	5605	2908	3317	3457	3826	5886	4561	2622	3369	3892	4761	3535	5667	4811	783	4910	4147	2676	4636	2971	3965	5716	4145	3659	3788	3498	4879	3713	3403	3403	2812	3826	3353	6079	3779	1579	3563	3360	3130	2547	2943	880	2496	5505	5372	5799	2818	3825	4000	6189	4721	7167
hsa-miR-155-5p	17	20	28	29	21	19	24	19	31	43	23	33	58	48	11	30	25	27	41	16	13	30	21	34	30	21	43	25	16	34	15	29	25	19	28	12	31	33	26	26	26	21	16	16	58	32	17	46	8	25	20	38
hsa-miR-15a-5p	520	292	465	492	457	978	453	277	986	857	353	815	1516	734	80	1045	518	923	1104	507	258	447	792	540	605	508	702	553	293	760	513	344	459	718	623	231	754	434	344	297	273	157	325	428	346	458	210	4271	324	1376	286	885
hsa-miR-15b-5p	462	261	420	296	585	576	316	278	387	556	325	454	596	567	116	561	434	397	703	422	416	390	756	455	408	162	422	356	347	332	301	334	287	634	340	178	473	302	312	329	362	83	272	481	382	467	320	1617	306	1003	460	966
hsa-miR-16-5p	14262	7131	11288	12850	12186	27399	14436	6269	14170	15905	10559	14355	24384	15132	2748	21019	8973	9050	19219	12245	8589	13888	25053	12713	12063	7490	14193	10542	6880	14434	10922	10305	12069	16719	13976	4629	19302	11044	8124	8937	6811	1574	3248	10139	10944	17254	7164	99464	7867	33466	8470	34816
hsa-miR-16-5p	14273	7138	11298	12856	12197	27418	14438	6271	14177	15916	10564	14359	24392	15144	2752	21028	8983	9064	19230	12252	8596	13890	25069	12724	12066	7492	14209	10551	6885	14443	10926	10310	12077	16734	13992	4632	19310	11049	8131	8946	6815	1576	3249	10146	10950	17257	7174	99501	7872	33489	8477	34834
hsa-miR-17-5p	150	76	127	154	111	194	148	103	140	52	95	137	152	140	10	240	95	115	192	94	85	134	224	84	117	66	105	111	43	153	85	112	104	156	142	37	164	77	81	90	59	20	39	102	82	215	65	837	55	280	50	131
hsa-miR-181a-5p	20302	13219	21262	19356	9756	24364	32832	13968	12964	5182	9743	18023	20223	19860	3179	26084	12164	23941	28307	21883	8936	22977	13949	7984	13396	17196	11652	15038	10488	19234	12022	23840	29402	14707	32996	13268	19830	15882	22779	22307	9650	16920	12842	19309	30982	25554	23603	109078	6099	13880	8730	8336
hsa-miR-181b-5p	175	128	141	179	99	204	256	120	197	129	141	234	319	310	25	200	239	533	339	203	96	175	208	131	166	214	254	257	121	188	144	269	308	170	389	188	241	226	215	169	116	266	408	214	463	353	188	803	127	191	260	173
hsa-miR-181b-5p	177	128	143	181	99	205	256	121	200	129	141	235	322	312	25	203	240	536	340	204	96	179	210	133	167	216	254	260	123	191	144	270	310	171	390	188	244	228	219	170	116	269	408	216	467	360	189	808	129	192	262	175
hsa-miR-181c-5p	140	74	137	180	80	103	165	80	82	59	88	174	103	98	5	121	142	97	110	69	62	151	53	80	100	65	83	142	61	147	79	76	105	126	262	44	69	85	62	103	49	29	83	181	323	244	109	425	58	174	156	97
hsa-miR-181d-5p	9	3	4	3	3	2	7	3	3	2	5	9	3	6	0	4	5	13	4	5	2	12	4	9	4	5	8	10	7	7	6	8	3	9	13	3	5	3	5	5	1	3	13	5	14	14	5	24	3	9	8	9
hsa-miR-182-5p	42899	33749	52855	59641	55422	23500	44762	40761	38633	134353	68122	43972	82248	82717	22110	27585	52732	72301	71906	46906	44273	55658	110786	68751	101141	18990	77487	50534	34216	65898	40361	41785	38464	52301	43868	44728	68811	55515	21404	65975	64714	22416	56757	68309	130870	54355	20052	394321	53857	79708	122719	109308
hsa-miR-183-5p	549	232	468	919	769	352	699	541	119	472	344	334	359	538	148	320	151	192	386	277	258	469	988	313	405	78	280	210	131	647	231	386	179	224	430	272	497	341	174	462	211	34	56	285	281	420	141	6328	362	674	1071	1378
hsa-miR-185-5p	1169	1029	729	958	755	899	808	1783	948	843	1804	1075	2063	1649	156	1638	2027	1804	2768	976	1146	1685	877	1148	1498	996	1916	959	1169	987	803	2055	1435	2199	1431	520	1321	551	548	597	690	624	627	1197	2335	918	1572	1444	556	999	842	925
hsa-miR-186-5p	19244	11794	12971	15863	20319	17088	15898	12192	12511	19415	13584	13530	33046	18030	5876	13031	15144	6965	13949	10091	14299	16193	15348	14549	13168	6314	11323	12372	14480	13997	12364	11113	11041	16648	12167	5498	13284	11410	9782	10010	8393	1779	9015	25183	45426	26829	22793	22757	22528	29150	32260	40744
hsa-miR-188-5p	1	1	1	1	0	5	4	0	2	1	2	2	1	6	0	3	2	1	1	0	2	0	1	2	2	0	2	3	0	0	2	0	2	4	1	0	1	1	0	1	1	0	0	1	2	2	1	8	0	3	3	1
hsa-miR-18a-5p	26	15	11	15	10	11	13	34	6	7	6	15	15	12	2	27	8	7	21	3	5	14	9	5	10	5	8	6	2	15	6	5	3	11	8	5	12	9	8	3	2	1	2	9	2	13	3	114	2	27	7	9
hsa-miR-18b-5p	2	2	1	0	5	2	3	2	1	0	2	3	1	1	0	3	0	1	1	0	0	0	1	2	1	1	1	0	0	4	0	0	1	5	0	0	0	0	3	1	0	0	0	1	0	5	0	6	1	2	0	0
hsa-miR-1908-5p	4	0	1	1	1	3	3	1	1	4	3	0	1	1	0	1	1	1	1	1	0	1	0	6	0	3	1	1	0	0	1	5	2	0	3	2	0	2	1	2	0	0	0	2	1	3	2	0	1	0	0	0
hsa-miR-190a-5p	9	2	1	11	3	5	5	2	4	1	3	9	11	6	0	2	4	10	15	9	4	9	10	5	5	2	3	2	5	9	4	5	9	11	3	1	15	5	4	0	1	2	0	2	0	6	3	16	1	2	1	3
hsa-miR-190b	3	0	0	1	0	1	3	0	1	1	0	0	2	0	0	3	1	0	5	0	0	2	3	1	1	3	0	0	0	1	1	0	3	1	3	0	0	3	1	1	0	0	0	0	0	1	1	5	0	0	0	2
hsa-miR-191-5p	85875	64824	91432	82484	113968	102024	96280	99668	47486	93889	71396	63096	89562	103173	87118	69185	64717	44893	71732	62755	92997	96413	137585	76845	64459	37019	59044	64936	60872	73882	69638	99034	60144	67622	77326	78868	92687	78091	95770	115946	72283	12764	42478	112511	249371	168490	136237	183651	79061	134574	125851	115862
hsa-miR-192-5p	29481	16457	21795	23395	18337	29439	22037	15421	23767	24725	34552	17247	61427	30261	6234	22952	36122	29025	34895	18441	27689	32804	33839	26520	22745	12514	27163	26248	24886	16718	26411	13666	16819	30183	12575	10008	31166	25575	17927	19924	17980	8636	31996	50594	67551	31691	31087	37073	34291	45946	53236	28025
hsa-miR-193a-5p	14	7	9	8	7	13	7	4	8	4	6	5	7	9	1	10	10	8	15	5	5	12	4	5	3	10	6	4	4	10	7	12	7	9	7	4	12	5	6	6	6	2	3	19	31	8	5	3	0	13	1	0
hsa-miR-194-5p	327	161	219	322	253	375	242	147	290	317	387	269	689	498	34	384	295	164	378	185	264	295	413	269	313	111	324	292	228	210	247	166	213	353	200	74	347	257	128	168	136	17	158	490	182	623	454	463	487	773	772	1173
hsa-miR-194-5p	344	166	227	344	262	391	253	155	300	328	414	281	710	524	38	396	307	184	390	191	276	306	429	285	325	119	345	309	236	219	259	178	227	372	208	80	369	267	136	174	148	19	175	520	189	658	481	487	510	802	815	1230
hsa-miR-196b-5p	3	3	6	8	5	22	10	5	3	10	8	4	6	3	0	11	3	7	12	4	6	5	12	3	6	2	7	5	4	12	6	3	5	11	7	2	8	6	6	12	2	2	0	2	5	7	0	40	1	4	4	8
hsa-miR-1976	3	10	4	4	5	4	6	11	13	8	9	9	13	4	3	10	9	4	4	7	8	4	1	9	11	12	10	5	4	14	3	5	10	4	11	4	0	7	5	4	7	3	2	2	2	4	5	1	4	8	2	2
hsa-miR-199a-5p	41	29	37	31	45	41	32	25	42	24	49	42	65	43	3	21	99	37	50	31	39	60	59	75	41	19	39	60	29	21	36	27	30	40	22	6	39	30	10	36	15	1	23	47	72	77	67	35	85	41	80	114
hsa-miR-199a-5p	41	29	37	31	45	41	32	25	42	24	49	42	65	43	3	21	99	37	50	31	39	60	59	75	41	19	39	60	29	21	36	27	30	40	22	6	39	30	10	36	15	1	23	47	72	77	67	35	85	41	80	114
hsa-miR-199b-5p	13	3	7	8	15	15	8	5	10	16	6	8	16	15	0	11	14	9	16	2	5	8	13	10	6	8	3	9	6	2	8	0	6	16	6	0	5	7	6	7	7	0	24	67	78	51	31	36	37	48	110	75
hsa-miR-204-5p	2	12	5	2	12	3	3	1	1	0	8	10	13	10	0	3	9	30	7	12	16	9	54	7	4	1	9	10	2	0	7	5	6	16	5	1	3	1	1	9	6	1	1	4	4	14	5	43	11	23	11	4
hsa-miR-20a-5p	18	20	39	41	32	67	39	22	43	19	20	37	57	33	3	78	30	45	66	28	26	49	75	31	22	24	28	22	23	32	31	22	25	50	37	11	64	32	17	16	12	8	1	35	29	54	15	387	9	98	8	41
hsa-miR-20b-5p	21	10	25	32	21	32	22	15	22	12	27	19	24	19	4	57	14	19	30	21	9	37	45	14	16	8	12	19	6	20	18	16	24	20	19	8	21	16	19	13	7	3	3	24	14	38	19	171	15	49	11	29
hsa-miR-21-5p	309	131	280	384	336	548	408	147	365	461	178	391	604	410	95	611	334	795	610	279	137	251	540	339	287	165	277	328	198	426	247	235	304	495	396	104	552	294	214	200	161	119	525	556	385	861	205	5359	406	853	1861	2094
hsa-miR-210-5p	6	12	11	6	9	12	8	20	13	6	32	12	20	9	4	14	33	15	31	15	21	26	6	19	27	32	26	23	13	10	12	16	17	17	15	10	14	18	20	20	12	2	4	4	5	15	13	6	7	9	3	12
hsa-miR-211-5p	2	1	2	0	1	1	0	4	1	1	1	0	1	0	0	1	2	3	1	2	4	2	3	3	0	0	0	0	2	3	0	0	2	1	2	2	3	0	1	1	0	0	0	0	2	3	2	3	1	1	0	1
hsa-miR-2110	31	37	22	27	26	31	31	46	43	31	21	32	64	40	7	36	35	19	61	41	18	33	17	29	21	30	23	34	27	24	37	51	35	29	32	37	31	25	17	23	15	25	11	26	26	22	35	23	15	32	15	22
hsa-miR-215-5p	29	22	30	23	21	30	29	20	29	37	46	23	91	32	12	28	47	41	48	24	50	62	66	44	34	17	46	49	46	29	54	24	28	46	19	12	73	42	31	27	21	9	43	65	78	54	71	41	55	104	91	53
hsa-miR-22-5p	17	12	19	7	5	16	15	20	23	14	17	17	34	16	2	22	15	21	29	3	17	24	10	13	20	11	14	8	13	16	12	11	11	25	23	12	14	10	13	11	8	6	5	13	24	11	13	10	10	13	17	26
hsa-miR-221-5p	1	0	0	3	0	0	0	1	3	1	2	1	3	0	0	1	1	2	0	1	1	0	2	2	2	0	1	2	1	1	0	2	0	4	0	0	1	0	3	0	0	0	2	2	3	1	0	5	2	2	1	5
hsa-miR-223-5p	3	1	2	0	2	0	2	5	1	1	0	1	3	0	0	2	0	0	0	1	2	1	2	0	2	0	1	2	0	0	3	1	1	1	1	2	1	0	3	2	0	2	1	3	1	0	2	6	2	0	2	0
hsa-miR-2277-5p	1	1	0	2	1	1	0	0	1	0	2	3	2	6	0	1	5	2	5	2	3	2	3	1	3	2	1	5	4	2	0	0	1	5	1	1	2	0	1	2	0	0	2	4	2	8	5	2	2	3	4	4
hsa-miR-2355-5p	1	0	2	0	2	3	2	0	1	1	0	0	1	4	0	2	5	0	2	0	1	0	2	0	1	0	1	0	1	0	0	0	0	3	0	0	0	1	0	3	0	2	2	3	2	12	3	4	1	1	8	8
hsa-miR-24-2-5p	4	0	1	3	3	2	3	0	3	3	3	3	3	3	0	4	2	3	6	3	2	3	1	2	1	0	2	2	0	1	2	1	1	5	3	0	3	0	0	1	1	0	2	1	7	7	3	4	1	5	3	5
hsa-miR-25-5p	8	5	8	7	2	6	4	6	5	4	11	15	9	5	0	8	11	9	12	5	6	8	6	10	7	9	14	13	5	5	7	7	4	6	5	2	6	8	2	2	3	3	5	9	6	6	5	2	1	3	2	5
hsa-miR-26a-5p	5797	2588	4367	3785	5926	9515	4633	2669	5922	11214	4856	5604	9875	8100	1642	7386	6929	4196	10709	4575	4555	6394	8267	6542	6938	3359	5992	6424	4243	4331	5324	3943	4742	9106	5395	1953	8482	5352	4505	4447	4361	750	4216	7832	8084	15284	10113	19598	10559	12828	12348	38897
hsa-miR-26a-5p	5801	2588	4369	3787	5927	9516	4636	2670	5923	11214	4857	5606	9877	8101	1641	7388	6932	4197	10712	4575	4556	6395	8268	6544	6939	3361	5996	6429	4243	4331	5323	3945	4745	9107	5398	1953	8484	5352	4505	4447	4362	750	4219	7835	8086	15288	10113	19612	10560	12833	12352	38908
hsa-miR-26b-5p	277	161	290	401	297	698	316	242	329	811	241	508	754	368	188	480	309	534	601	345	216	352	496	412	391	237	466	350	177	415	284	341	382	483	524	138	691	282	338	308	196	117	227	367	361	605	197	3574	334	869	456	2063
hsa-miR-27b-5p	0	1	1	0	0	1	0	0	0	0	2	1	1	0	0	1	0	3	1	2	0	0	2	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	3	5	0	1	0	2
hsa-miR-28-5p	52	23	42	39	47	73	41	35	60	77	61	55	99	64	4	44	88	32	49	24	31	53	43	44	50	43	70	102	36	35	57	40	45	57	58	26	46	37	47	38	19	9	31	35	108	59	39	91	46	42	68	137
hsa-miR-296-5p	14	39	35	35	21	33	31	68	38	34	47	11	24	42	10	10	11	14	60	22	36	27	21	31	39	11	32	16	20	36	33	34	34	55	24	24	42	22	27	36	19	1	13	14	18	24	37	23	21	25	11	17
hsa-miR-29b-2-5p	3	1	2	2	2	6	1	7	3	2	0	3	10	4	0	7	2	2	4	2	0	1	2	1	2	1	4	2	0	5	5	6	2	2	2	2	1	1	2	1	1	1	3	0	3	1	4	5	1	1	0	1
